Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_mulieris__UMB0007B__GCA_026184155.1,Lactobacillus_mulieris__UMB7783B__GCA_030228195.1
corC,corC,Magnesium and cobalt efflux protein CorC,2,2,1.0,79,1,,,,864,864,864.0,OCAFGGHM_01689,GPENAHNM_00470
nadK,nadK,NAD kinase,2,2,1.0,78,6,,,,789,789,789.0,OCAFGGHM_01678,GPENAHNM_01295
yjbK,;yjbK,hypothetical protein;Putative triphosphatase YjbK,2,2,1.0,78,5,,,,621,621,621.0,OCAFGGHM_01676,GPENAHNM_01293
yjbM,yjbM,GTP pyrophosphokinase YjbM,2,2,1.0,78,4,,,,627,627,627.0,OCAFGGHM_01677,GPENAHNM_01294
spxH,spxH,ClpXP adapter protein SpxH,2,2,1.0,78,3,,,,633,633,633.0,OCAFGGHM_01675,GPENAHNM_01292
group_534,,hypothetical protein,2,2,1.0,78,2,,,,894,894,894.0,OCAFGGHM_01679,GPENAHNM_01296
group_533,,hypothetical protein,2,2,1.0,78,1,,,,432,432,432.0,OCAFGGHM_01680,GPENAHNM_01297
smc_7,smc_7,Chromosome partition protein Smc,2,2,1.0,77,1,,,,2739,2739,2739.0,OCAFGGHM_01665,GPENAHNM_01381
group_532,,hypothetical protein,2,2,1.0,76,5,,,,210,210,210.0,OCAFGGHM_01659,GPENAHNM_00102
nfr1,nfr1,NADH-dependent flavin reductase subunit 1,2,2,1.0,76,4,,,,537,537,537.0,OCAFGGHM_01657,GPENAHNM_00100
group_531,,hypothetical protein,2,2,1.0,76,3,,,,603,603,603.0,OCAFGGHM_01658,GPENAHNM_00101
nfr2,nfr2,NADH-dependent flavin reductase subunit 2,2,2,1.0,76,2,,,,549,549,549.0,OCAFGGHM_01656,GPENAHNM_00099
mupG,mupG,6-phospho-N-acetylmuramidase,2,2,1.0,76,1,,,,1035,1035,1035.0,OCAFGGHM_01655,GPENAHNM_00098
iphP,iphP,Tyrosine-protein phosphatase,2,2,1.0,75,1,,,,795,795,795.0,OCAFGGHM_01654,GPENAHNM_00893
group_530,,hypothetical protein,2,2,1.0,74,3,,,,1002,1002,1002.0,OCAFGGHM_01644,GPENAHNM_00576
group_529,,Alpha-monoglucosyldiacylglycerol synthase,2,2,1.0,74,2,,,,1167,1167,1167.0,OCAFGGHM_01642,GPENAHNM_00578
cpoA,cpoA,Alpha-galactosylglucosyldiacylglycerol synthase,2,2,1.0,74,1,,,,1047,1047,1047.0,OCAFGGHM_01643,GPENAHNM_00577
ecsA,ecsA,ABC-type transporter ATP-binding protein EcsA,2,2,1.0,73,7,,,,744,744,744.0,OCAFGGHM_01632,GPENAHNM_00685
hit,hit,Protein hit,2,2,1.0,73,6,,,,432,432,432.0,OCAFGGHM_01631,GPENAHNM_00686
group_528,,hypothetical protein,2,2,1.0,73,5,,,,1185,1185,1185.0,OCAFGGHM_01633,GPENAHNM_00684
pheT_2,pheT_2,Phenylalanine--tRNA ligase beta subunit,2,2,1.0,73,4,,,,648,648,648.0,OCAFGGHM_01636,GPENAHNM_00681
ytpP,ytpP,Thioredoxin-like protein YtpP,2,2,1.0,73,3,,,,321,321,321.0,OCAFGGHM_01635,GPENAHNM_00682
group_527,,hypothetical protein,2,2,1.0,73,2,,,,528,528,528.0,OCAFGGHM_01637,GPENAHNM_00680
trmB,trmB,tRNA (guanine-N(7)-)-methyltransferase,2,2,1.0,73,1,,,,654,654,654.0,OCAFGGHM_01634,GPENAHNM_00683
hdfR,hdfR,HTH-type transcriptional regulator HdfR,2,2,1.0,72,4,,,,825,825,825.0,OCAFGGHM_01627,GPENAHNM_00375
nanE,nanE,Putative N-acetylmannosamine-6-phosphate 2-epimerase,2,2,1.0,72,3,,,,699,699,699.0,OCAFGGHM_01629,GPENAHNM_00377
ptsG,ptsG,PTS system glucose-specific EIICBA component,2,2,1.0,72,2,,,,1983,1983,1983.0,OCAFGGHM_01628,GPENAHNM_00376
ybbH,ybbH,putative HTH-type transcriptional regulator YbbH,2,2,1.0,72,1,,,,813,813,813.0,OCAFGGHM_01630,GPENAHNM_00378
dtpT,dtpT,Di-/tripeptide transporter,2,2,1.0,71,1,,,,1494,1494,1494.0,OCAFGGHM_01617,GPENAHNM_00718
mmgB,mmgB,putative 3-hydroxybutyryl-CoA dehydrogenase,2,2,1.0,70,6,,,,891,891,891.0,OCAFGGHM_01616,GPENAHNM_00716
cladc,cla-dc,CLA biosynthesis isomerase,2,2,1.0,70,5,,,,828,828,828.0,OCAFGGHM_01615,GPENAHNM_00715
iolU,iolU,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,2,2,1.0,70,4,,,,981,981,981.0,OCAFGGHM_01612,GPENAHNM_00712
claer,cla-er,CLA biosynthesis enone reductase,2,2,1.0,70,3,,,,651,651,651.0,OCAFGGHM_01614,GPENAHNM_00714
group_525,guaA_2,GMP synthase [glutamine-hydrolyzing],2,2,1.0,70,1,,,,669,669,669.0,OCAFGGHM_01613,GPENAHNM_00713
pbpA,pbpA,Penicillin-binding protein 2A,2,2,1.0,69,7,,,,2127,2127,2127.0,OCAFGGHM_01605,GPENAHNM_00540
yqgQ,yqgQ,putative protein YqgQ,2,2,1.0,69,6,,,,210,210,210.0,OCAFGGHM_01609,GPENAHNM_00536
glpE,glpE,Thiosulfate sulfurtransferase GlpE,2,2,1.0,69,5,,,,402,402,402.0,OCAFGGHM_01610,GPENAHNM_00535
rpmGA_1,rpmGA_1,Large ribosomal subunit protein bL33A,2,2,1.0,69,4,,,,150,150,150.0,OCAFGGHM_01606,GPENAHNM_00539
yqgN,yqgN,putative protein YqgN,2,2,1.0,69,3,,,,558,558,558.0,OCAFGGHM_01607,GPENAHNM_00538
group_524,,hypothetical protein,2,2,1.0,69,2,,,,180,180,180.0,OCAFGGHM_01611,GPENAHNM_00534
glpG~~~gluP,glpG;gluP,Rhomboid protease GlpG;Rhomboid protease GluP,2,2,1.0,69,1,,,,690,690,690.0,OCAFGGHM_01608,GPENAHNM_00537
group_523,,hypothetical protein,2,2,1.0,68,5,,,,1224,1224,1224.0,OCAFGGHM_01601,GPENAHNM_00691
yhaM,yhaM,3'-5' exoribonuclease YhaM,2,2,1.0,68,4,,,,975,975,975.0,OCAFGGHM_01603,GPENAHNM_00689
group_522,,hypothetical protein,2,2,1.0,68,3,,,,363,363,363.0,OCAFGGHM_01600,GPENAHNM_00692
prsA,prsA,Foldase protein PrsA,2,2,1.0,68,2,,,,909,909,909.0,OCAFGGHM_01604,GPENAHNM_00688
group_521,,hypothetical protein,2,2,1.0,68,1,,,,2418,2418,2418.0,OCAFGGHM_01602,GPENAHNM_00690
cas2,cas2,CRISPR-associated endoribonuclease Cas2,2,2,1.0,67,4,,,,306,306,306.0,OCAFGGHM_01593,GPENAHNM_00705
cas9,cas9,CRISPR-associated endonuclease Cas9,2,2,1.0,67,3,,,,4185,4188,4186.5,OCAFGGHM_01591,GPENAHNM_00707
group_520,,hypothetical protein,2,2,1.0,67,2,,,,669,669,669.0,OCAFGGHM_01594,GPENAHNM_00704
cas1,cas1,CRISPR-associated endonuclease Cas1,2,2,1.0,67,1,,,,909,909,909.0,OCAFGGHM_01592,GPENAHNM_00706
group_519,,PhoH-like protein,2,2,1.0,66,11,,,,954,954,954.0,OCAFGGHM_01586,GPENAHNM_00996
yqfL,yqfL,Putative pyruvate phosphate dikinase regulatory protein,2,2,1.0,66,10,,,,825,825,825.0,OCAFGGHM_01583,GPENAHNM_00999
era,era,GTPase Era,2,2,1.0,66,9,,,,909,909,909.0,OCAFGGHM_01589,GPENAHNM_00993
ybeY,ybeY,Endoribonuclease YbeY,2,2,1.0,66,8,,,,525,525,525.0,OCAFGGHM_01587,GPENAHNM_00995
yqeY,yqeY,putative protein YqeY,2,2,1.0,66,7,,,,462,462,462.0,OCAFGGHM_01585,GPENAHNM_00997
rpsU,rpsU,Small ribosomal subunit protein bS21,2,2,1.0,66,6,,,,177,177,177.0,OCAFGGHM_01584,GPENAHNM_00998
cdd,cdd,Cytidine deaminase,2,2,1.0,66,5,,,,423,423,423.0,OCAFGGHM_01588,GPENAHNM_00994
msrB,msrB,Peptide methionine sulfoxide reductase MsrB,2,2,1.0,66,4,,,,189,441,315.0,OCAFGGHM_01580,GPENAHNM_01002
group_518,,hypothetical protein,2,2,1.0,66,3,,,,879,879,879.0,OCAFGGHM_01582,GPENAHNM_01000
recO,recO,DNA repair protein RecO,2,2,1.0,66,2,,,,756,756,756.0,OCAFGGHM_01590,GPENAHNM_00992
msrA2,msrA2,Peptide methionine sulfoxide reductase MsrA 2,2,2,1.0,66,1,,,,531,531,531.0,OCAFGGHM_01581,GPENAHNM_01001
arcD1_1,arcD1_1,Arginine/ornithine antiporter ArcD1,2,2,1.0,65,6,,,,1428,1428,1428.0,OCAFGGHM_01574,GPENAHNM_00275
arcA,arcA,Arginine deiminase,2,2,1.0,65,5,,,,1227,1227,1227.0,OCAFGGHM_01576,GPENAHNM_00273
argF,argF,Ornithine carbamoyltransferase,2,2,1.0,65,4,,,,1002,1002,1002.0,OCAFGGHM_01578,GPENAHNM_00271
arcC1,arcC1,Carbamate kinase 1,2,2,1.0,65,3,,,,915,915,915.0,OCAFGGHM_01577,GPENAHNM_00272
arcD1_2,arcD1_2,Arginine/ornithine antiporter ArcD1,2,2,1.0,65,2,,,,1419,1419,1419.0,OCAFGGHM_01575,GPENAHNM_00274
group_517,,hypothetical protein,2,2,1.0,65,1,,,,852,852,852.0,OCAFGGHM_01579,GPENAHNM_00270
group_516,,hypothetical protein,2,2,1.0,64,6,,,,210,210,210.0,OCAFGGHM_01570,GPENAHNM_00795
group_515,,hypothetical protein,2,2,1.0,64,5,,,,240,240,240.0,OCAFGGHM_01571,GPENAHNM_00794
group_514,,hypothetical protein,2,2,1.0,64,4,,,,366,366,366.0,OCAFGGHM_01572,GPENAHNM_00791
garK,garK,Glycerate 2-kinase,2,2,1.0,64,3,,,,1146,1146,1146.0,OCAFGGHM_01573,GPENAHNM_00790
yfmL,yfmL,putative ATP-dependent RNA helicase YfmL,2,2,1.0,63,9,,,,1200,1227,1213.5,OCAFGGHM_01549,GPENAHNM_00448
group_511,,hypothetical protein,2,2,1.0,63,8,,,,180,180,180.0,OCAFGGHM_01545,GPENAHNM_00452
group_510,,hypothetical protein,2,2,1.0,63,7,,,,297,297,297.0,OCAFGGHM_01546,GPENAHNM_00451
mnaA,mnaA,UDP-N-acetylglucosamine 2-epimerase,2,2,1.0,63,6,,,,1143,1143,1143.0,OCAFGGHM_01544,GPENAHNM_00453
hpt,hpt,Hypoxanthine-guanine phosphoribosyltransferase,2,2,1.0,63,5,,,,564,564,564.0,OCAFGGHM_01552,GPENAHNM_00445
group_509,,hypothetical protein,2,2,1.0,63,4,,,,714,714,714.0,OCAFGGHM_01550,GPENAHNM_00447
celB,celB,PTS system cellobiose-specific EIIC component,2,2,1.0,63,3,,,,1341,1341,1341.0,OCAFGGHM_01548,GPENAHNM_00449
steT_2,steT_2,Serine/threonine exchanger SteT,2,2,1.0,63,2,,,,1296,1296,1296.0,OCAFGGHM_01551,GPENAHNM_00446
group_508,,hypothetical protein,2,2,1.0,63,1,,,,822,1323,1072.5,OCAFGGHM_01553,GPENAHNM_00444
dhaM,dhaM,PTS-dependent dihydroxyacetone kinase phosphotransferase subunit DhaM,2,2,1.0,62,8,,,,375,375,375.0,OCAFGGHM_01538,GPENAHNM_00783
glpF_1~~~glpF_2,glpF_1;glpF_2,Glycerol uptake facilitator protein,2,3,1.5,62,7,,,,195,702,381.0,OCAFGGHM_01537,GPENAHNM_00784;GPENAHNM_00785
dhaL,dhaL,PTS-dependent dihydroxyacetone kinase ADP-binding subunit DhaL,2,2,1.0,62,6,,,,582,582,582.0,OCAFGGHM_01539,GPENAHNM_00782
group_507,,hypothetical protein,2,2,1.0,62,5,,,,537,537,537.0,OCAFGGHM_01541,GPENAHNM_00780
group_506,,hypothetical protein,2,2,1.0,62,4,,,,849,849,849.0,OCAFGGHM_01536,GPENAHNM_00786
glmS,glmS,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],2,2,1.0,62,3,,,,1812,1812,1812.0,OCAFGGHM_01535,GPENAHNM_00787
group_505,,hypothetical protein,2,2,1.0,62,2,,,,204,216,210.0,OCAFGGHM_01542,GPENAHNM_00779
dhaK,dhaK,PTS-dependent dihydroxyacetone kinase dihydroxyacetone-binding subunit DhaK,2,2,1.0,62,1,,,,996,996,996.0,OCAFGGHM_01540,GPENAHNM_00781
rnj,rnj,Ribonuclease J,2,2,1.0,61,8,,,,1284,1284,1284.0,OCAFGGHM_01526,GPENAHNM_00848
lacF,lacF,Lactose transport system permease protein LacF,2,2,1.0,61,7,,,,867,867,867.0,OCAFGGHM_01528,GPENAHNM_00850
group_504,,hypothetical protein;Protein ADP-ribosyltransferase,2,2,1.0,61,6,,,,381,777,579.0,OCAFGGHM_01532,GPENAHNM_00854
smoH,smoH,Sulfoquinovosyl glycerol transport system permease protein SmoH,2,2,1.0,61,5,,,,825,825,825.0,OCAFGGHM_01527,GPENAHNM_00849
group_503,,hypothetical protein,2,2,1.0,61,4,,,,876,876,876.0,OCAFGGHM_01530,GPENAHNM_00852
group_502,uup_6,ATP-binding protein Uup,2,2,1.0,61,3,,,,1086,1086,1086.0,OCAFGGHM_01529,GPENAHNM_00851
polC_3~~~polC_2,polC_3;polC_2,DNA polymerase III PolC-type,2,2,1.0,61,2,,,,954,954,954.0,OCAFGGHM_01531,GPENAHNM_00853
group_501,,hypothetical protein,2,2,1.0,61,1,,,,1308,1308,1308.0,OCAFGGHM_01525,GPENAHNM_00847
citF,citF,Citrate lyase alpha chain,2,2,1.0,60,9,,,,1539,1539,1539.0,OCAFGGHM_01524,GPENAHNM_01015
citD,citD,Citrate lyase acyl carrier protein,2,2,1.0,60,8,,,,294,294,294.0,OCAFGGHM_01522,GPENAHNM_01017
citX,citX,Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,2,2,1.0,60,7,,,,534,540,537.0,OCAFGGHM_01516,GPENAHNM_01023
yjmC,yjmC,putative oxidoreductase YjmC,2,2,1.0,60,6,,,,1137,1137,1137.0,OCAFGGHM_01517,GPENAHNM_01022
ldh,ldh,L-lactate dehydrogenase,2,2,1.0,60,5,,,,924,924,924.0,OCAFGGHM_01518,GPENAHNM_01021
ydjP,ydjP,AB hydrolase superfamily protein YdjP,2,2,1.0,60,4,,,,792,792,792.0,OCAFGGHM_01519,GPENAHNM_01020
citC,citC,[Citrate [pro-3S]-lyase] ligase,2,2,1.0,60,3,,,,1056,1056,1056.0,OCAFGGHM_01521,GPENAHNM_01018
citE,citE,Citrate lyase subunit beta,2,2,1.0,60,2,,,,915,915,915.0,OCAFGGHM_01523,GPENAHNM_01016
sorC,sorC,Sorbitol operon regulator,2,2,1.0,60,1,,,,954,954,954.0,OCAFGGHM_01520,GPENAHNM_01019
group_500,,hypothetical protein,2,2,1.0,59,10,,,,1359,1359,1359.0,OCAFGGHM_01487,GPENAHNM_01013
group_499,,hypothetical protein,2,2,1.0,59,9,,,,375,375,375.0,OCAFGGHM_01490,GPENAHNM_01010
dtd,dtd,D-aminoacyl-tRNA deacylase,2,2,1.0,59,8,,,,441,441,441.0,OCAFGGHM_01492,GPENAHNM_01008
group_498,,hypothetical protein,2,2,1.0,59,7,,,,267,267,267.0,OCAFGGHM_01495,GPENAHNM_01005
relA,relA,GTP pyrophosphokinase,2,2,1.0,59,6,,,,2238,2238,2238.0,OCAFGGHM_01491,GPENAHNM_01009
group_497,,hypothetical protein,2,2,1.0,59,5,,,,126,333,229.5,OCAFGGHM_01496,GPENAHNM_01004
prmA,prmA,Ribosomal protein L11 methyltransferase,2,2,1.0,59,4,,,,945,945,945.0,OCAFGGHM_01489,GPENAHNM_01011
ybaK,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,2,2,1.0,59,3,,,,507,507,507.0,OCAFGGHM_01488,GPENAHNM_01012
aspS,aspS,Aspartate--tRNA ligase,2,2,1.0,59,2,,,,1833,1833,1833.0,OCAFGGHM_01494,GPENAHNM_01006
hisS,hisS,Histidine--tRNA ligase,2,2,1.0,59,1,,,,1281,1281,1281.0,OCAFGGHM_01493,GPENAHNM_01007
bglC,bglC,Aryl-phospho-beta-D-glucosidase BglC,2,2,1.0,58,13,,,,1362,1362,1362.0,OCAFGGHM_01481,GPENAHNM_00365
rbsD,rbsD,D-ribose pyranase,2,2,1.0,58,12,,,,396,396,396.0,OCAFGGHM_01476,GPENAHNM_00370
rbsA,rbsA,Ribose import ATP-binding protein RbsA,2,2,1.0,58,11,,,,1479,1479,1479.0,OCAFGGHM_01477,GPENAHNM_00369
rbsC,rbsC,Ribose import permease protein RbsC,2,2,1.0,58,9,,,,957,957,957.0,OCAFGGHM_01478,GPENAHNM_00368
palQ~~~malL_1,palQ;malL_1,Palatinase;Oligo-16-glucosidase,2,2,1.0,58,8,,,,324,1662,993.0,OCAFGGHM_01486,GPENAHNM_00357
gmuC~~~licC_2,gmuC;licC_2,PTS system oligo-beta-mannoside-specific EIIC component;Lichenan permease IIC component,2,2,1.0,58,7,,,,645,1308,976.5,OCAFGGHM_01482,GPENAHNM_00364
rbsB_2,rbsB_2,Ribose import binding protein RbsB,2,2,1.0,58,6,,,,987,987,987.0,OCAFGGHM_01479,GPENAHNM_00367
hcaR~~~gltC_3,hcaR;gltC_3,Hca operon transcriptional activator HcaR;Transcriptional dual regulator GltC,2,2,1.0,58,5,,,,897,897,897.0,OCAFGGHM_01484,GPENAHNM_00359
ifcA~~~vprA_1,ifcA;vprA_1,putative fumarate reductase Ifc3;Vinyl phenol reductase,2,2,1.0,58,4,,,,1485,1485,1485.0,OCAFGGHM_01483,GPENAHNM_00360
gmuR_2,gmuR_2,HTH-type transcriptional regulator GmuR,2,2,1.0,58,3,,,,708,708,708.0,OCAFGGHM_01480,GPENAHNM_00366
rbsR_2,rbsR_2,Ribose operon repressor,2,2,1.0,58,2,,,,993,993,993.0,OCAFGGHM_01485,GPENAHNM_00358
yumC,yumC,Ferredoxin--NADP reductase 2,2,2,1.0,57,10,,,,726,726,726.0,OCAFGGHM_01474,GPENAHNM_00283
group_496,,hypothetical protein,2,2,1.0,57,9,,,,666,666,666.0,OCAFGGHM_01467,GPENAHNM_00290
arcD,arcD,Arginine/ornithine antiporter,2,2,1.0,57,8,,,,1461,1467,1464.0,OCAFGGHM_01465,GPENAHNM_00292
ypjQ,ypjQ,putative protein YpjQ,2,2,1.0,57,7,,,,522,522,522.0,OCAFGGHM_01473,GPENAHNM_00284
glyA,glyA,Serine hydroxymethyltransferase,2,2,1.0,57,6,,,,1236,1236,1236.0,OCAFGGHM_01471,GPENAHNM_00286
group_495,,hypothetical protein,2,2,1.0,57,5,,,,1380,1380,1380.0,OCAFGGHM_01470,GPENAHNM_00287
dedA,dedA,DedA family protein,2,2,1.0,57,4,,,,651,651,651.0,OCAFGGHM_01472,GPENAHNM_00285
uvrA_2~~~uvrA_1,uvrA_2;uvrA_1,UvrABC system protein A,2,2,1.0,57,3,,,,2520,2520,2520.0,OCAFGGHM_01468,GPENAHNM_00289
group_494,,hypothetical protein,2,2,1.0,57,2,,,,417,417,417.0,OCAFGGHM_01466,GPENAHNM_00291
group_493,,hypothetical protein,2,2,1.0,57,1,,,,486,486,486.0,OCAFGGHM_01469,GPENAHNM_00288
syfD,syfD,putative syringafactin export ATP-binding/permease protein SyfD,2,2,1.0,56,8,,,,1971,1971,1971.0,OCAFGGHM_01463,GPENAHNM_00825
betI_2,betI_2,HTH-type transcriptional regulator BetI,2,2,1.0,56,7,,,,579,579,579.0,OCAFGGHM_01464,GPENAHNM_00824
ygcS_1,ygcS_1,Inner membrane metabolite transport protein YgcS,2,2,1.0,56,6,,,,1362,1362,1362.0,OCAFGGHM_01460,GPENAHNM_00827
ygcS_2~~~ygcS_1,ygcS_2;ygcS_1,Inner membrane metabolite transport protein YgcS,2,2,1.0,56,5,,,,1296,1296,1296.0,OCAFGGHM_01461,GPENAHNM_00826
ysdC,ysdC,Putative aminopeptidase YsdC,2,2,1.0,56,3,,,,1083,1083,1083.0,OCAFGGHM_01459,GPENAHNM_00828
ykoE,ykoE,Putative HMP/thiamine permease protein YkoE,2,2,1.0,56,1,,,,570,570,570.0,OCAFGGHM_01458,GPENAHNM_00829
gtaB,gtaB,UTP--glucose-1-phosphate uridylyltransferase,2,2,1.0,55,13,,,,903,903,903.0,OCAFGGHM_01449,GPENAHNM_00460
bioH_3,bioH_3,Pimeloyl-[acyl-carrier protein] methyl ester esterase,2,2,1.0,55,12,,,,954,954,954.0,OCAFGGHM_01447,GPENAHNM_00462
mvaA,mvaA,3-hydroxy-3-methylglutaryl-coenzyme A reductase,2,2,1.0,55,11,,,,1227,1227,1227.0,OCAFGGHM_01445,GPENAHNM_00464
elaA,elaA,Protein ElaA,2,2,1.0,55,10,,,,435,435,435.0,OCAFGGHM_01454,GPENAHNM_00455
group_491,,hypothetical protein,2,2,1.0,55,9,,,,504,504,504.0,OCAFGGHM_01453,GPENAHNM_00456
map,map,Methionine aminopeptidase 1,2,2,1.0,55,8,,,,828,828,828.0,OCAFGGHM_01451,GPENAHNM_00458
thlA,thlA,Acetyl-CoA acetyltransferase,2,2,1.0,55,7,,,,1146,1146,1146.0,OCAFGGHM_01446,GPENAHNM_00463
group_490,,hypothetical protein,2,2,1.0,55,6,,,,861,861,861.0,OCAFGGHM_01450,GPENAHNM_00459
rlmCD,rlmCD,23S rRNA (uracil-C(5))-methyltransferase RlmCD,2,2,1.0,55,5,,,,1377,1377,1377.0,OCAFGGHM_01443,GPENAHNM_00466
group_489,,Flavodoxin,2,2,1.0,55,4,,,,447,447,447.0,OCAFGGHM_01452,GPENAHNM_00457
group_488,,hypothetical protein,2,2,1.0,55,3,,,,285,285,285.0,OCAFGGHM_01448,GPENAHNM_00461
mvaS,mvaS,Hydroxymethylglutaryl-CoA synthase,2,2,1.0,55,2,,,,1158,1158,1158.0,OCAFGGHM_01444,GPENAHNM_00465
