Gene,Non-unique Gene name,Annotation,max_pident,max_aln_len,n_hits,qlen,max_cov
group_580,,hypothetical protein,90.8,422,25,387.0,1.09
recX,recX,Regulatory protein RecX,90.809,816,11,816.0,1.0
group_748,,hypothetical protein,90.83,458,7,459.0,0.998
garB,garB,Glutathione amide reductase,90.841,1332,3,1332.0,1.0
group_355,,hypothetical protein,90.86,186,3,186.0,1.0
group_252,,hypothetical protein,90.86,186,3,186.0,1.0
tmung,tmung,Type-4 uracil-DNA glycosylase,90.881,636,7,636.0,1.0
sasA_1,sasA_1,Adaptive-response sensory-kinase SasA,90.902,1298,12,1275.0,1.018
group_786,,hypothetical protein,90.909,297,3,297.0,1.0
group_745,,Putative phosphatase,90.92,804,16,804.0,1.0
group_707,,hypothetical protein,90.936,684,3,684.0,1.0
hom,hom,Homoserine dehydrogenase,90.954,1227,7,1227.0,1.0
group_379,,hypothetical protein,90.971,1761,25,1761.0,1.0
yjaB,yjaB,Peptidyl-lysine N-acetyltransferase YjaB,90.972,432,7,426.0,1.014
ybiV_2,ybiV_2,Sugar phosphatase YbiV,91.001,789,16,789.0,1.0
group_739,,hypothetical protein,91.057,369,10,369.0,1.0
group_126,,hypothetical protein,91.057,492,6,492.0,1.0
group_17,,hypothetical protein,91.061,2271,4,2271.0,1.0
comFA,comFA,Competence protein ComFA,91.095,1269,12,1269.0,1.0
uup_5~~~uup_7,uup_5;;uup_7,ATP-binding protein Uup;hypothetical protein,91.111,2340,68,2340.0,1.0
pepV_2,pepV_2,Beta-Ala-Xaa dipeptidase,91.116,1317,3,1317.0,1.0
rpiA,rpiA,Ribose-5-phosphate isomerase A,91.117,698,12,699.0,0.999
group_28,,hypothetical protein,91.126,1848,2,1848.0,1.0
group_161,,hypothetical protein,91.131,327,7,327.0,1.0
group_626,,hypothetical protein,91.137,677,11,678.0,0.999
kdpB,kdpB,Potassium-transporting ATPase ATP-binding subunit,91.138,2299,26,2268.0,1.014
group_618,,hypothetical protein,91.156,995,7,996.0,0.999
group_621,,hypothetical protein,91.161,939,3,939.0,1.0
ribCF,ribCF,Bifunctional riboflavin kinase/FMN adenylyltransferase,91.161,939,12,939.0,1.0
group_725,,hypothetical protein,91.166,849,12,849.0,1.0
catM_1,catM_1,HTH-type transcriptional regulator CatM,91.166,849,7,849.0,1.0
group_755,,hypothetical protein,91.168,1970,3,1983.0,0.993
group_32,,hypothetical protein,91.176,103,5,2070.0,0.05
group_34,,putative ABC transporter ATP-binding protein,91.176,1606,10,1608.0,0.999
group_427,,Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase,91.18,771,8,771.0,1.0
group_454,,hypothetical protein,91.219,558,7,558.0,1.0
rfbX,rfbX,Putative O-antigen transporter,91.232,1437,12,1437.0,1.0
group_796,,hypothetical protein,91.253,423,4,423.0,1.0
group_53,,hypothetical protein,91.257,1218,4,1218.0,1.0
group_11,,hypothetical protein,91.287,2572,22,2571.0,1.0
group_136,,hypothetical protein,91.333,450,7,450.0,1.0
prmA,prmA,Ribosomal protein L11 methyltransferase,91.35,956,12,948.0,1.008
group_443,,hypothetical protein,91.36,625,3,627.0,0.997
group_616,,hypothetical protein,91.375,429,7,429.0,1.0
pepDA_4~~~pepDA_3~~~pepDA_2,pepDA_4;pepDA_3;pepDA_2,Dipeptidase A,91.384,1428,44,1416.0,1.008
murQ,murQ,N-acetylmuramic acid 6-phosphate etherase,91.387,894,11,894.0,1.0
group_713,,hypothetical protein,91.406,384,9,384.0,1.0
group_562,,Endoglucanase,91.421,1119,13,1119.0,1.0
bltD,bltD,Spermine/spermidine N(1)-acetyltransferase,91.441,479,4,489.0,0.98
group_774,,hypothetical protein,91.453,702,12,702.0,1.0
yfcA,yfcA,putative membrane transporter protein YfcA,91.459,761,12,762.0,0.999
group_662,,hypothetical protein,91.465,867,12,867.0,1.0
ftsY,ftsY,Signal recognition particle receptor FtsY,91.481,1350,13,1350.0,1.0
group_389,,hypothetical protein,91.503,617,13,612.0,1.008
group_407,,hypothetical protein,91.512,1131,15,1131.0,1.0
group_609,,DegV domain-containing protein,91.538,840,8,840.0,1.0
yidA_4,yidA_4,Sugar phosphatase YidA,91.544,816,25,816.0,1.0
mvaS,mvaS,Hydroxymethylglutaryl-CoA synthase,91.581,1164,12,1164.0,1.0
group_259,,hypothetical protein,91.593,678,6,678.0,1.0
comGA,comGA,Competence protein ComGA,91.616,978,12,978.0,1.0
metN,metN,Methionine import ATP-binding protein MetN,91.619,1050,107,1050.0,1.0
gabD1,gabD1,Succinate-semialdehyde dehydrogenase [NADP(+)] 1,91.63,1374,16,1374.0,1.0
group_799,,hypothetical protein,91.64,1902,3,1899.0,1.002
xylB,xylB,Xylulose kinase,91.65,1510,7,1509.0,1.001
group_746,,hypothetical protein,91.667,684,7,684.0,1.0
group_669,,hypothetical protein,91.667,288,18,288.0,1.0
tcyN,tcyN,L-cystine import ATP-binding protein TcyN,91.667,648,85,648.0,1.0
gatC_1~~~gatC_3,gatC_1;gatC_3,PTS system galactitol-specific EIIC component,91.678,1454,7,1455.0,0.999
group_127,,hypothetical protein,91.718,483,6,483.0,1.0
rnz,rnz,Ribonuclease Z,91.72,930,17,930.0,1.0
galK_1,galK_1,Galactokinase,91.721,918,12,918.0,1.0
nnrD,nnrD,ADP-dependent (S)-NAD(P)H-hydrate dehydratase,91.726,846,12,846.0,1.0
group_377,,hypothetical protein,91.728,544,3,549.0,0.991
copA,copA,Copper-exporting P-type ATPase,91.779,1942,22,1935.0,1.004
hslO,hslO,33 kDa chaperonin,91.781,876,13,876.0,1.0
yoaB,yoaB,Calcium-transporting ATPase 1,91.781,2628,97,2628.0,1.0
group_381,,hypothetical protein,91.785,1692,7,1692.0,1.0
ylbL,ylbL,putative protein YlbL,91.79,1011,17,1011.0,1.0
group_451,,hypothetical protein,91.795,585,11,585.0,1.0
sbnD_2~~~sbnD_1,sbnD_2;sbnD_1,Staphyloferrin B transporter,91.798,1207,14,1212.0,0.996
group_639,,hypothetical protein,91.803,734,3,732.0,1.003
rluB_1,rluB_1,Ribosomal large subunit pseudouridine synthase B,91.806,720,15,720.0,1.0
group_814,,hypothetical protein,91.828,1236,12,1236.0,1.0
group_222,,hypothetical protein,91.83,612,7,612.0,1.0
group_723,,putative RNA methyltransferase,91.847,1353,19,1353.0,1.0
paiA,paiA,Spermidine/spermine N(1)-acetyltransferase,91.848,552,3,552.0,1.0
egtUBC,egtUBC,putative ergothioneine transporter EgtUBC,91.876,1551,3,1551.0,1.0
group_420,,hypothetical protein,91.876,837,5,834.0,1.004
map,map,Methionine aminopeptidase 1,91.879,826,12,825.0,1.001
group_585,,hypothetical protein,91.896,654,6,654.0,1.0
group_417,,hypothetical protein,91.901,852,17,852.0,1.0
yidA_1,yidA_1,Sugar phosphatase YidA,91.912,817,20,816.0,1.001
ecfA2,ecfA2,Energy-coupling factor transporter ATP-binding protein EcfA2,91.926,867,23,867.0,1.0
group_56,,hypothetical protein,91.941,1101,3,1086.0,1.014
tilS,tilS,tRNA(Ile)-lysidine synthase,91.975,1296,12,1296.0,1.0
mdtP_1,mdtP_1,Multidrug transporter protein MdtP,91.989,1473,15,1473.0,1.0
rsmC,rsmC,Ribosomal RNA small subunit methyltransferase C,91.993,612,12,612.0,1.0
group_98,,hypothetical protein,91.994,687,19,684.0,1.004
group_572,,hypothetical protein,92.012,1014,3,1014.0,1.0
rpe,rpe,Ribulose-phosphate 3-epimerase,92.012,651,15,651.0,1.0
group_448,,hypothetical protein,92.013,601,4,600.0,1.002
group_51,,hypothetical protein,92.021,564,3,564.0,1.0
ansA,ansA,L-asparaginase 1,92.028,1016,7,1017.0,0.999
pepX,pepX,Xaa-Pro dipeptidyl-peptidase,92.03,2394,12,2385.0,1.004
group_93,,hypothetical protein,92.045,472,7,720.0,0.656
group_441,,hypothetical protein,92.049,660,2,648.0,1.019
folT,folT,Folate transporter FolT,92.054,516,12,516.0,1.0
group_442,,hypothetical protein,92.056,652,7,642.0,1.016
group_640,,hypothetical protein,92.063,441,3,441.0,1.0
group_764,,Aldo-keto reductase/MSMEI_2347,92.075,861,19,858.0,1.003
pepE_2,pepE_2,Aminopeptidase E,92.078,1338,43,1338.0,1.0
lacR_2,lacR_2,HTH-type transcriptional regulator LacR,92.116,1002,7,1002.0,1.0
mrnC,mrnC,Mini-ribonuclease 3,92.117,444,12,444.0,1.0
menA,menA,14-dihydroxy-2-naphthoate octaprenyltransferase,92.125,927,3,927.0,1.0
group_116,,hypothetical protein,92.125,546,6,546.0,1.0
patB,patB,Cystathionine beta-lyase PatB,92.128,557,10,567.0,0.982
group_201,,hypothetical protein,92.129,1893,15,1872.0,1.011
ypiA,ypiA,TPR repeat-containing protein YpiA,92.137,1259,12,1260.0,0.999
rsmD,rsmD,Ribosomal RNA small subunit methyltransferase D,92.168,549,12,549.0,1.0
ecfT_1,ecfT_1,Energy-coupling factor transporter transmembrane protein EcfT,92.178,831,7,831.0,1.0
group_27,,hypothetical protein,92.188,128,3,132.0,0.97
yedJ,yedJ,putative protein YedJ,92.202,654,12,654.0,1.0
group_192,,hypothetical protein,92.208,462,3,462.0,1.0
rihC,rihC,Non-specific ribonucleoside hydrolase RihC,92.208,925,16,924.0,1.001
group_558,,hypothetical protein,92.209,786,7,783.0,1.004
fpgS,fpgS,Folylpolyglutamate synthase,92.222,1264,15,1260.0,1.003
ykoD_2,ykoD_2,Putative HMP/thiamine import ATP-binding protein YkoD,92.239,1353,18,1353.0,1.0
group_677,,L-lactate oxidase,92.252,1239,14,1239.0,1.0
addB,addB,ATP-dependent helicase/deoxyribonuclease subunit B,92.263,3477,27,3477.0,1.0
group_231,,hypothetical protein,92.271,828,3,828.0,1.0
group_393,,NADH:fumarate oxidoreductase,92.285,1374,16,1374.0,1.0
fluC2,fluC2,Fluoride-specific ion channel FluC 2,92.287,363,10,363.0,1.0
group_139,,hypothetical protein,92.29,441,3,441.0,1.0
tcyP,tcyP,L-cystine uptake protein TcyP,92.291,1388,3,1389.0,0.999
group_117,,hypothetical protein,92.322,534,5,534.0,1.0
hepT,hepT,Heptaprenyl diphosphate synthase component 2,92.33,1017,6,1017.0,1.0
trmFO,trmFO,Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO,92.331,1317,12,1317.0,1.0
group_226,,hypothetical protein,92.347,588,3,588.0,1.0
ybiT,ybiT,putative ATP-binding protein YbiT,92.36,1623,19,1623.0,1.0
mshA,mshA,D-inositol-3-phosphate glycosyltransferase,92.371,1101,12,1101.0,1.0
group_358,,hypothetical protein,92.373,118,10,174.0,0.678
mnaA,mnaA,UDP-N-acetylglucosamine 2-epimerase,92.379,1299,12,1299.0,1.0
group_418,,hypothetical protein,92.381,840,7,840.0,1.0
group_256,,hypothetical protein,92.381,735,17,735.0,1.0
dpaL,dpaL,Diaminopropionate ammonia-lyase,92.386,1182,3,1182.0,1.0
pepO_1,pepO_1,Neutral endopeptidase,92.387,1987,32,1944.0,1.022
group_229,,hypothetical protein,92.391,552,2,549.0,1.005
group_511,,hypothetical protein,92.398,342,12,342.0,1.0
group_218,,hypothetical protein,92.41,4383,22,6654.0,0.659
group_60,,hypothetical protein,92.415,1002,12,1002.0,1.0
dinB_2,dinB_2,DNA polymerase IV,92.424,1320,14,1320.0,1.0
dinB_1,dinB_1,DNA polymerase IV,92.424,1122,12,1122.0,1.0
xerS,xerS,Tyrosine recombinase XerS,92.437,1071,13,1071.0,1.0
group_242,,hypothetical protein,92.447,609,14,609.0,1.0
truA,truA,tRNA pseudouridine synthase A,92.453,795,12,795.0,1.0
group_78,,Putative phosphatase,92.457,822,12,822.0,1.0
dtd,dtd,D-aminoacyl-tRNA deacylase,92.466,443,12,438.0,1.011
recJ,recJ,Single-stranded-DNA-specific exonuclease RecJ,92.47,2271,14,2271.0,1.0
yqgN,yqgN,putative protein YqgN,92.473,558,11,558.0,1.0
scpA,scpA,Segregation and condensation protein A,92.473,744,12,744.0,1.0
group_694,,hypothetical protein,92.497,2439,19,2439.0,1.0
hexR,hexR,HTH-type transcriptional regulator HexR,92.5,840,7,840.0,1.0
qorB,qorB,Quinone oxidoreductase 2,92.503,867,3,867.0,1.0
yfiC,yfiC,tRNA1(Val) (adenine(37)-N6)-methyltransferase,92.517,1029,12,1017.0,1.012
maa,maa,Maltose O-acetyltransferase,92.52,615,13,615.0,1.0
rlmP,rlmP,23S rRNA (guanosine(2553)-2'-O)-methyltransferase RlmP,92.52,781,12,762.0,1.025
group_0,,hypothetical protein,92.523,118,8,240.0,0.492
group_638,,hypothetical protein,92.527,743,6,735.0,1.011
priA,priA,Replication restart protein PriA,92.529,2417,18,2397.0,1.008
yheI_2,yheI_2,putative multidrug resistance ABC transporter ATP-binding/permease protein YheI,92.53,1767,39,1767.0,1.0
rbsKrbiA,rbsK/rbiA,Bifunctional ribokinase/ribose-5-phosphate isomerase A,92.532,924,19,924.0,1.0
group_603,,hypothetical protein,92.535,576,3,576.0,1.0
lepA_2,lepA_2,Elongation factor 4,92.55,1844,12,1839.0,1.003
pyrR_2,pyrR_2,Bifunctional protein pyrR,92.551,537,13,537.0,1.0
metE,;metE,hypothetical protein;5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,92.552,1101,9,1101.0,1.0
rihB,rihB,Pyrimidine-specific ribonucleoside hydrolase RihB,92.557,935,10,927.0,1.009
rnj2,rnj2,Ribonuclease J 2,92.568,1776,25,1776.0,1.0
odcI,odcI,Inducible ornithine decarboxylase,92.571,2100,14,2100.0,1.0
group_362,,hypothetical protein,92.576,2007,2,2007.0,1.0
group_369,,hypothetical protein,92.583,1928,31,1929.0,0.999
pepC,pepC,Aminopeptidase C,92.587,1349,80,1350.0,0.999
group_30,,hypothetical protein,92.593,27,1,90.0,0.3
group_805,,hypothetical protein,92.593,1215,10,1215.0,1.0
group_190,,hypothetical protein,92.593,783,3,783.0,1.0
comGC,comGC,Competence protein ComGC,92.593,297,12,297.0,1.0
mutL,mutL,DNA mismatch repair protein MutL,92.604,1893,18,1893.0,1.0
azoR,azoR,FMN dependent NADH:quinone oxidoreductase,92.612,582,1,582.0,1.0
miaA,miaA,tRNA dimethylallyltransferase,92.617,921,13,921.0,1.0
truB,truB,tRNA pseudouridine synthase B,92.617,894,15,894.0,1.0
ypsC,ypsC,Putative RNA methyltransferase YpsC,92.622,1126,12,1125.0,1.001
degV_1,degV_1,Protein DegV,92.641,924,7,924.0,1.0
ykoE,ykoE,Putative HMP/thiamine permease protein YkoE,92.652,558,3,558.0,1.0
group_110,,Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase,92.655,588,12,588.0,1.0
yfkJ,yfkJ,Low molecular weight protein-tyrosine-phosphatase YfkJ,92.662,477,16,477.0,1.0
dprA,dprA,DNA processing protein DprA,92.671,846,12,846.0,1.0
group_801,,hypothetical protein,92.674,546,7,546.0,1.0
fni,fni,Isopentenyl-diphosphate delta-isomerase,92.683,1025,12,1026.0,0.999
group_270,,hypothetical protein,92.708,1248,4,1248.0,1.0
comFC,comFC,Competence protein ComFC,92.708,673,12,672.0,1.001
uup_2~~~uup_3,;uup_2;uup_3,hypothetical protein;ATP-binding protein Uup,92.712,1578,39,1578.0,1.0
group_105,,hypothetical protein,92.713,645,12,645.0,1.0
dnaD,dnaD,Replicative helicase loading/DNA remodeling protein DnaD,92.713,645,12,645.0,1.0
rnhA,rnhA,Ribonuclease H,92.715,778,18,756.0,1.029
metG_1~~~metG,metG_1;metG,Methionine--tRNA ligase,92.716,2008,14,1977.0,1.016
group_184,,hypothetical protein,92.732,1197,7,1197.0,1.0
group_170,,hypothetical protein,92.734,289,7,291.0,0.993
pcp,pcp,Pyrrolidone-carboxylate peptidase,92.736,648,12,648.0,1.0
bglG,bglG,Cryptic beta-glucoside bgl operon antiterminator,92.738,840,8,840.0,1.0
fhs1,fhs1,Formate--tetrahydrofolate ligase 1,92.738,1694,12,1680.0,1.008
dnaN,dnaN,Beta sliding clamp,92.75,1140,12,1131.0,1.008
cpdA,cpdA,3'5'-cyclic adenosine monophosphate phosphodiesterase CpdA,92.782,1233,20,1233.0,1.0
group_397,,hypothetical protein,92.783,1344,7,1344.0,1.0
carB_2,carB_2,Carbamoyl phosphate synthase large chain,92.788,3189,16,3189.0,1.0
thyA,thyA,Thymidylate synthase,92.79,967,12,957.0,1.01
mdtP_2,mdtP_2,Multidrug transporter protein MdtP,92.798,1458,14,1458.0,1.0
bglK_1,bglK_1,Beta-glucoside kinase,92.799,861,4,861.0,1.0
group_700,,hypothetical protein,92.8,442,16,444.0,0.995
catM_2,catM_2;,HTH-type transcriptional regulator CatM;hypothetical protein,92.803,928,12,927.0,1.001
coaBC,coaBC,Coenzyme A biosynthesis bifunctional protein CoaBC,92.804,1209,12,1209.0,1.0
group_143,,hypothetical protein,92.806,417,3,417.0,1.0
cycA_1,cycA_1,D-serine/D-alanine/glycine transporter,92.809,1350,35,1350.0,1.0
mecA,mecA,Adapter protein MecA 1,92.813,654,12,654.0,1.0
group_375,,hypothetical protein,92.815,849,7,849.0,1.0
cca,cca,CCA-adding enzyme,92.815,1197,13,1197.0,1.0
group_378,,putative ABC transporter ATP-binding protein,92.825,1770,37,1770.0,1.0
farB,;farB,hypothetical protein;Fatty acid resistance protein FarB,92.832,1395,6,1395.0,1.0
