hsdM,hsdM,Type I restriction enzymeP methylase subunit,DLKHCADP_01578,FKLDPHGP_00372
group_815,,hypothetical protein,DLKHCADP_01568,FKLDPHGP_00879
spxH,spxH,ClpXP adapter protein SpxH,DLKHCADP_01551,FKLDPHGP_01314
hprK,hprK,HPr kinase/phosphorylase,DLKHCADP_01523,FKLDPHGP_01342
recA,recA,Protein RecA,DLKHCADP_01533,FKLDPHGP_01332
rny,rny,Ribonuclease Y,DLKHCADP_01532,FKLDPHGP_01333
group_814,,hypothetical protein,DLKHCADP_01537,FKLDPHGP_01328
group_813,,hypothetical protein,DLKHCADP_01557,FKLDPHGP_01308
clpE_2,clpE_2,ATP-dependent Clp protease ATP-binding subunit ClpE,DLKHCADP_01558,FKLDPHGP_01307
spx,spx,Global transcriptional regulator Spx,DLKHCADP_01554,FKLDPHGP_01311
hpf,hpf,Ribosome hibernation promotion factor,DLKHCADP_01527,FKLDPHGP_01338
comFA,comFA,Competence protein ComFA,DLKHCADP_01529,FKLDPHGP_01336
group_812,,hypothetical protein,DLKHCADP_01550,FKLDPHGP_01315
ptsH,ptsH,Phosphocarrier protein HPr,DLKHCADP_01556,FKLDPHGP_01309
yjbM,yjbM,GTP pyrophosphokinase YjbM,DLKHCADP_01549,FKLDPHGP_01316
lgt,lgt,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,DLKHCADP_01522,FKLDPHGP_01343
ptsI,ptsI,Phosphoenolpyruvate-protein phosphotransferase,DLKHCADP_01555,FKLDPHGP_01310
rluD_2,rluD_2,Ribosomal large subunit pseudouridine synthase D,DLKHCADP_01547,FKLDPHGP_01318
tagO,tagO,putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase,DLKHCADP_01531,FKLDPHGP_01334
secA,secA,Protein translocase subunit SecA,DLKHCADP_01526,FKLDPHGP_01339
prfB,prfB,Peptide chain release factor 2,DLKHCADP_01525,FKLDPHGP_01340
cspR,cspR,Putative tRNA (cytidine(34)-2'-O)-methyltransferase,DLKHCADP_01541,FKLDPHGP_01324
spoIIIE,spoIIIE,DNA translocase SpoIIIE,DLKHCADP_01539,FKLDPHGP_01326
group_811,,hypothetical protein,DLKHCADP_01524,FKLDPHGP_01341
sph,sph,Oleate hydratase,DLKHCADP_01546,FKLDPHGP_01319
pgsA,pgsA,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,DLKHCADP_01534,FKLDPHGP_01331
gpsA,gpsA,Glycerol-3-phosphate dehydrogenase [NAD(P)+],DLKHCADP_01521,FKLDPHGP_01344
pgl,pgl,6-phosphogluconolactonase,DLKHCADP_01544,FKLDPHGP_01321
group_810,,Putative transport protein,DLKHCADP_01542,FKLDPHGP_01323
group_809,,hypothetical protein,DLKHCADP_01540,FKLDPHGP_01325
group_808,,hypothetical protein,DLKHCADP_01535,FKLDPHGP_01330
mecA,mecA,Adapter protein MecA 1,DLKHCADP_01553,FKLDPHGP_01312
nadK,nadK,NAD kinase,DLKHCADP_01548,FKLDPHGP_01317
fabG,fabG,3-oxoacyl-[acyl-carrier-protein] reductase FabG,DLKHCADP_01536,FKLDPHGP_01329
trxB,trxB,Thioredoxin reductase,DLKHCADP_01520,FKLDPHGP_01345
group_807,,hypothetical protein,DLKHCADP_01545,FKLDPHGP_01320
group_806,,hypothetical protein,DLKHCADP_01543,FKLDPHGP_01322
group_805,,hypothetical protein,DLKHCADP_01538,FKLDPHGP_01327
yigZ,yigZ,IMPACT family member YigZ,DLKHCADP_01530,FKLDPHGP_01335
group_804,,hypothetical protein,DLKHCADP_01552,FKLDPHGP_01313
comFC,comFC,Competence protein ComFC,DLKHCADP_01528,FKLDPHGP_01337
cpoA,cpoA,Alpha-galactosylglucosyldiacylglycerol synthase,DLKHCADP_01451,FKLDPHGP_00003
ltaS1,ltaS1,Lipoteichoic acid synthase 1,DLKHCADP_01453,FKLDPHGP_00001
group_803,,hypothetical protein,DLKHCADP_01452,FKLDPHGP_00002
group_802,,hypothetical protein,DLKHCADP_01450,FKLDPHGP_01673
group_801,,hypothetical protein,DLKHCADP_01443,FKLDPHGP_01768
group_800,,hypothetical protein,DLKHCADP_01442,FKLDPHGP_01769
adhE,adhE,Aldehyde-alcohol dehydrogenase,DLKHCADP_01441,FKLDPHGP_01770
group_799,,hypothetical protein,DLKHCADP_01438,FKLDPHGP_01767
group_798,,hypothetical protein,DLKHCADP_01439,FKLDPHGP_01766
srmB,srmB,ATP-dependent RNA helicase SrmB,DLKHCADP_01440,FKLDPHGP_01765
farB,;farB,hypothetical protein;Fatty acid resistance protein FarB,DLKHCADP_01431;DLKHCADP_01574,FKLDPHGP_01248
murC,murC,UDP-N-acetylmuramate--L-alanine ligase,DLKHCADP_01427,FKLDPHGP_01244
cutC,cutC,PF03932 family protein CutC,DLKHCADP_01426,FKLDPHGP_01243
group_797,,hypothetical protein,DLKHCADP_01429,FKLDPHGP_01246
licC_3~~~licC_2,licC_3;licC_2,Lichenan permease IIC component,DLKHCADP_01425,FKLDPHGP_01242
group_796,,hypothetical protein,DLKHCADP_01430,FKLDPHGP_01247
gmuR_3,gmuR_3,HTH-type transcriptional regulator GmuR,DLKHCADP_01428,FKLDPHGP_01245
recX,recX,Regulatory protein RecX,DLKHCADP_01482,FKLDPHGP_01300
uup_7,uup_7,ATP-binding protein Uup,DLKHCADP_01387,FKLDPHGP_01259
group_795,,hypothetical protein,DLKHCADP_01493,FKLDPHGP_01289
mltG,mltG,Endolytic murein transglycosylase,DLKHCADP_01502,FKLDPHGP_01280
mvaA,mvaA,3-hydroxy-3-methylglutaryl-coenzyme A reductase,DLKHCADP_01485,FKLDPHGP_01297
pbpA,pbpA,Penicillin-binding protein 2A,DLKHCADP_01499,FKLDPHGP_01283
rlmCD,rlmCD,23S rRNA (uracil-C(5))-methyltransferase RlmCD,DLKHCADP_01483,FKLDPHGP_01299
glpE,glpE,Thiosulfate sulfurtransferase GlpE,DLKHCADP_01494,FKLDPHGP_01288
yqeH,yqeH,putative protein YqeH,DLKHCADP_01516,FKLDPHGP_01266
group_794,,hypothetical protein,DLKHCADP_01479,FKLDPHGP_01303
rlmP,rlmP,23S rRNA (guanosine(2553)-2'-O)-methyltransferase RlmP,DLKHCADP_01506,FKLDPHGP_01276
gluP,gluP,Rhomboid protease GluP,DLKHCADP_01496,FKLDPHGP_01286
polA_2~~~polA,polA_2;polA,DNA polymerase I,DLKHCADP_01573,FKLDPHGP_01250
mutM,mutM,Formamidopyrimidine-DNA glycosylase,DLKHCADP_01393,FKLDPHGP_01251
nrdR,nrdR,Transcriptional repressor NrdR,DLKHCADP_01395,FKLDPHGP_01253
yidC,yidC,Membrane protein insertase YidC,DLKHCADP_01508,FKLDPHGP_01274
group_793,,hypothetical protein,DLKHCADP_01511,FKLDPHGP_01271
group_792,,hypothetical protein,DLKHCADP_01388,FKLDPHGP_01260
nadD,nadD,Nicotinate-nucleotide adenylyltransferase,DLKHCADP_01515,FKLDPHGP_01267
rplT_2~~~rplT,rplT_2;rplT,Large ribosomal subunit protein bL20,DLKHCADP_01519,FKLDPHGP_01263
yccX,yccX,Acylphosphatase,DLKHCADP_01507,FKLDPHGP_01275
rpmI,rpmI,Large ribosomal subunit protein bL35,DLKHCADP_01390,FKLDPHGP_01262
dnaI,dnaI,Replicative helicase loader DnaI,DLKHCADP_01397,FKLDPHGP_01255
pheT_2,pheT_2,Phenylalanine--tRNA ligase beta subunit,DLKHCADP_01503,FKLDPHGP_01279
yqgN,yqgN,putative protein YqgN,DLKHCADP_01497,FKLDPHGP_01285
add1,add1,Adenosine deaminase 1,DLKHCADP_01518,FKLDPHGP_01264
greA_2,greA_2,Transcription elongation factor GreA,DLKHCADP_01501,FKLDPHGP_01281
rsfS,rsfS,Ribosomal silencing factor RsfS,DLKHCADP_01513,FKLDPHGP_01269
group_791,,hypothetical protein,DLKHCADP_01476,FKLDPHGP_01306
tmcAL,tmcAL,tRNA(Met) cytidine acetate ligase,DLKHCADP_01512,FKLDPHGP_01270
group_790,,hypothetical protein,DLKHCADP_01500,FKLDPHGP_01282
group_789,,hypothetical protein,DLKHCADP_01386,FKLDPHGP_01258
mvaS,mvaS,Hydroxymethylglutaryl-CoA synthase,DLKHCADP_01484,FKLDPHGP_01298
yodB,yodB,HTH-type transcriptional regulator YodB,DLKHCADP_01505,FKLDPHGP_01277
thlA,thlA,Acetyl-CoA acetyltransferase,DLKHCADP_01486,FKLDPHGP_01296
miaA,miaA,tRNA dimethylallyltransferase,DLKHCADP_01492,FKLDPHGP_01290
yfcJ,yfcJ,putative MFS-type transporter YfcJ,DLKHCADP_01490,FKLDPHGP_01292
group_788,,hypothetical protein,DLKHCADP_01480,FKLDPHGP_01302
dpaL,dpaL,Diaminopropionate ammonia-lyase,DLKHCADP_01572,FKLDPHGP_01249
group_787,,putative HTH-type transcriptional regulator,DLKHCADP_01385,FKLDPHGP_01257
glnA,glnA,Glutamine synthetase,DLKHCADP_01491,FKLDPHGP_01291
group_786,,hypothetical protein,DLKHCADP_01488,FKLDPHGP_01294
dnaB_2,dnaB_2,Replicative helicase loading/DNA remodeling protein DnaB,DLKHCADP_01396,FKLDPHGP_01254
group_785,,hypothetical protein,DLKHCADP_01495,FKLDPHGP_01287
rpmGA,rpmGA,Large ribosomal subunit protein bL33A,DLKHCADP_01498,FKLDPHGP_01284
arlR,arlR,Response regulator ArlR,DLKHCADP_01510,FKLDPHGP_01272
group_784,,hypothetical protein,DLKHCADP_01517,FKLDPHGP_01265
thrS,thrS,Threonine--tRNA ligase,DLKHCADP_01384,FKLDPHGP_01256
infC,infC,Translation initiation factor IF-3,DLKHCADP_01389,FKLDPHGP_01261
sasA_2,sasA_2,Adaptive-response sensory-kinase SasA,DLKHCADP_01509,FKLDPHGP_01273
pheS,pheS,Phenylalanine--tRNA ligase alpha subunit,DLKHCADP_01504,FKLDPHGP_01278
group_783,,Nucleoside triphosphate/diphosphate phosphatase,DLKHCADP_01481,FKLDPHGP_01301
corC,corC,Magnesium and cobalt efflux protein CorC,DLKHCADP_01478,FKLDPHGP_01304
menH_1,menH_1,2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase,DLKHCADP_01487,FKLDPHGP_01295
group_782,,Bis(5'-nucleosyl)-tetraphosphatase symmetrical,DLKHCADP_01514,FKLDPHGP_01268
coaE,coaE,Dephospho-CoA kinase,DLKHCADP_01394,FKLDPHGP_01252
prfC,prfC,Peptide chain release factor 3,DLKHCADP_01477,FKLDPHGP_01305
ybiV_1,ybiV_1,Sugar phosphatase YbiV,DLKHCADP_01489,FKLDPHGP_01293
ligA,ligA,DNA ligase,DLKHCADP_01268,FKLDPHGP_01191
tarD,tarD,Glycerol-3-phosphate cytidylyltransferase,DLKHCADP_01284,FKLDPHGP_01174
yidA_1,yidA_1,Sugar phosphatase YidA,DLKHCADP_01261,FKLDPHGP_01198
group_781,,hypothetical protein,DLKHCADP_01294,FKLDPHGP_01164
group_780,,hypothetical protein,DLKHCADP_01260,FKLDPHGP_01199
mshA,mshA,D-inositol-3-phosphate glycosyltransferase,DLKHCADP_01282,FKLDPHGP_01176
group_779,,Protein SprT-like protein,DLKHCADP_01273,FKLDPHGP_01186
panT,panT,Pantothenate transporter PanT,DLKHCADP_01271,FKLDPHGP_01188
psiE,psiE,Protein PsiE,DLKHCADP_01299,FKLDPHGP_01159
pcrA,pcrA,ATP-dependent DNA helicase PcrA,DLKHCADP_01269,FKLDPHGP_01190
group_778,,hypothetical protein,DLKHCADP_01296,FKLDPHGP_01162
group_776,,hypothetical protein,DLKHCADP_01286,FKLDPHGP_01172
group_775,,hypothetical protein,DLKHCADP_01270,FKLDPHGP_01189
hexR,hexR,HTH-type transcriptional regulator HexR,DLKHCADP_01291,FKLDPHGP_01167
nagR_1,nagR_1,HTH-type transcriptional repressor NagR,DLKHCADP_01285,FKLDPHGP_01173
gatB_2,gatB_2,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,DLKHCADP_01264,FKLDPHGP_01195
tagA,tagA,N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase,DLKHCADP_01283,FKLDPHGP_01175
yerH,yerH,putative lipoprotein YerH,DLKHCADP_01267,FKLDPHGP_01192
group_774,,hypothetical protein,DLKHCADP_01274,FKLDPHGP_01185
group_773,,L-2-hydroxyisocaproate dehydrogenase,DLKHCADP_01290,FKLDPHGP_01168
dagK,dagK,Diacylglycerol kinase,DLKHCADP_01263,FKLDPHGP_01196
rfbX,rfbX,Putative O-antigen transporter,DLKHCADP_01275,FKLDPHGP_01184
tagF,tagF,Teichoic acid poly(glycerol phosphate) polymerase,DLKHCADP_01276,FKLDPHGP_01183
gatA_2,gatA_2,Glutamyl-tRNA(Gln) amidotransferase subunit A,DLKHCADP_01265,FKLDPHGP_01194
nadE,nadE,NH(3)-dependent NAD(+) synthetase,DLKHCADP_01279,FKLDPHGP_01179
group_771,,hypothetical protein,DLKHCADP_01262,FKLDPHGP_01197
group_770,,hypothetical protein,DLKHCADP_01297,FKLDPHGP_01161
group_767,,Calcium-transporting ATPase 1,DLKHCADP_01278,FKLDPHGP_01180
pncB2,pncB2,Nicotinate phosphoribosyltransferase pncB2,DLKHCADP_01280,FKLDPHGP_01178
rclA,rclA,putative pyridine nucleotide-disulfide oxidoreductase RclA,DLKHCADP_01316,FKLDPHGP_01154
group_765,,hypothetical protein,DLKHCADP_01298,FKLDPHGP_01160
group_764,,Aldo-keto reductase/MSMEI_2347,DLKHCADP_01315,FKLDPHGP_01155
group_761,,hypothetical protein,DLKHCADP_01300,FKLDPHGP_01158
iolG,iolG,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,DLKHCADP_01293,FKLDPHGP_01165
group_760,,Sulfurtransferase,DLKHCADP_01287,FKLDPHGP_01171
gatC_4,gatC_4,Glutamyl-tRNA(Gln) amidotransferase subunit C,DLKHCADP_01266,FKLDPHGP_01193
group_758,,hypothetical protein,DLKHCADP_01292,FKLDPHGP_01166
uup_6,uup_6,ATP-binding protein Uup,DLKHCADP_01277,FKLDPHGP_01181
group_755,,hypothetical protein,DLKHCADP_01281,FKLDPHGP_01177
nrdF,nrdF,Ribonucleoside-diphosphate reductase 2 subunit beta,DLKHCADP_01257,FKLDPHGP_01724
nrdI_1~~~nrdI_2,nrdI_1;nrdI_2,Protein NrdI,DLKHCADP_01258,FKLDPHGP_01725
nrdE1,nrdE1,Ribonucleoside-diphosphate reductase subunit alpha 1,DLKHCADP_01259,FKLDPHGP_01726
group_754,,hypothetical protein,DLKHCADP_01228,FKLDPHGP_01646
group_753,,hypothetical protein,DLKHCADP_01230,FKLDPHGP_01643;FKLDPHGP_01644
group_752,,hypothetical protein,DLKHCADP_01231,FKLDPHGP_01642
group_751,,hypothetical protein,DLKHCADP_01233,FKLDPHGP_01640
group_750,,hypothetical protein,DLKHCADP_01232,FKLDPHGP_01641
serS,serS,Serine--tRNA ligase,DLKHCADP_01234,FKLDPHGP_01639
gabD1,gabD1,Succinate-semialdehyde dehydrogenase [NADP(+)] 1,DLKHCADP_01229,FKLDPHGP_01645
sugC,sugC,Trehalose import ATP-binding protein SugC,DLKHCADP_01226,FKLDPHGP_01661
group_748,,hypothetical protein,DLKHCADP_01217,FKLDPHGP_01655
group_747,,Protein ADP-ribosyltransferase,DLKHCADP_01402,FKLDPHGP_01668
group_746,,hypothetical protein,DLKHCADP_01239,FKLDPHGP_01647
group_745,,Putative phosphatase,DLKHCADP_01238,FKLDPHGP_01648
araQ,araQ,Arabinooligosaccharides transport system permease protein AraQ,DLKHCADP_01213,FKLDPHGP_01659
pepT_3,pepT_3,Peptidase T,DLKHCADP_01399,FKLDPHGP_01671
paiA,paiA,Spermidine/spermine N(1)-acetyltransferase,DLKHCADP_01218,FKLDPHGP_01654
pepDA_2~~~pepDA_3,pepDA_2;pepDA_3,Dipeptidase A,DLKHCADP_01225,FKLDPHGP_01662
group_744,,hypothetical protein,DLKHCADP_01400,FKLDPHGP_01670
group_743,,hypothetical protein,DLKHCADP_01401,FKLDPHGP_01669
rnj,rnj,Ribonuclease J,DLKHCADP_01214,FKLDPHGP_01658
group_742,,hypothetical protein,DLKHCADP_01215,FKLDPHGP_01657
group_741,,hypothetical protein,DLKHCADP_01235,FKLDPHGP_01650
murK,murK,N-acetylmuramic acid/N-acetylglucosamine kinase,DLKHCADP_01220,FKLDPHGP_01652
group_740,,hypothetical protein,DLKHCADP_01222,FKLDPHGP_01666
dkgB,dkgB;,25-diketo-D-gluconic acid reductase B;hypothetical protein,DLKHCADP_01223,FKLDPHGP_01664;FKLDPHGP_01665
group_739,,hypothetical protein,DLKHCADP_01216,FKLDPHGP_01656
dinG_2,dinG_2,3'-5' exonuclease DinG,DLKHCADP_01403,FKLDPHGP_01667
group_738,,Acetyltransferase,DLKHCADP_01219,FKLDPHGP_01653
lacF_1,lacF_1,Lactose transport system permease protein LacF,DLKHCADP_01227,FKLDPHGP_01660
group_737,,hypothetical protein,DLKHCADP_01224,FKLDPHGP_01663
group_736,,hypothetical protein,DLKHCADP_01221,FKLDPHGP_01651
ydgH,;ydgH,hypothetical protein;Putative membrane protein YdgH,DLKHCADP_01237;DLKHCADP_01236,FKLDPHGP_01649
groEL,groEL,Chaperonin GroEL,DLKHCADP_01173,FKLDPHGP_01148
group_735,,hypothetical protein,DLKHCADP_01174,FKLDPHGP_01149
yvqK,yvqK,Corrinoid adenosyltransferase,DLKHCADP_01369,FKLDPHGP_01202
ecfT_1,ecfT_1,Energy-coupling factor transporter transmembrane protein EcfT,DLKHCADP_01364,FKLDPHGP_01207
group_728,,hypothetical protein,DLKHCADP_01362,FKLDPHGP_01209
group_727,,(R)-S-adenosyl-L-methionine hydrolase,DLKHCADP_01361,FKLDPHGP_01210
pepV_2,pepV_2,Beta-Ala-Xaa dipeptidase,DLKHCADP_01435,FKLDPHGP_01239
group_725,,hypothetical protein,DLKHCADP_01157,FKLDPHGP_01221
dinB_2,dinB_2,DNA polymerase IV,DLKHCADP_01155,FKLDPHGP_01219
group_723,,putative RNA methyltransferase,DLKHCADP_01357,FKLDPHGP_01214
nhaC,nhaC,Na(+)/H(+) antiporter NhaC,DLKHCADP_01360,FKLDPHGP_01211
ytpP,ytpP,Thioredoxin-like protein YtpP,DLKHCADP_01432,FKLDPHGP_01236
group_721,,hypothetical protein,DLKHCADP_01150,FKLDPHGP_01235
prsA,prsA,Foldase protein PrsA,DLKHCADP_01142,FKLDPHGP_01227
group_717,,hypothetical protein,DLKHCADP_01143,FKLDPHGP_01228
group_716,,hypothetical protein,DLKHCADP_01159,FKLDPHGP_01223
pheT_1,pheT_1,Phenylalanine--tRNA ligase beta subunit,DLKHCADP_01433,FKLDPHGP_01237
group_713,,hypothetical protein,DLKHCADP_01154,FKLDPHGP_01218
group_711,,hypothetical protein,DLKHCADP_01367,FKLDPHGP_01204
group_709,,N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase,DLKHCADP_01436,FKLDPHGP_01240
pbpX_2~~~pbpX_1,pbpX_2;pbpX_1,Putative penicillin-binding protein PbpX,DLKHCADP_01151,FKLDPHGP_01215
group_707,,hypothetical protein,DLKHCADP_01358,FKLDPHGP_01213
yhaM,yhaM,3'-5' exoribonuclease YhaM,DLKHCADP_01141,FKLDPHGP_01226
trmB,trmB,tRNA (guanine-N(7)-)-methyltransferase,DLKHCADP_01148,FKLDPHGP_01233
ykoD_1,ykoD_1,Putative HMP/thiamine import ATP-binding protein YkoD,DLKHCADP_01363,FKLDPHGP_01208
bcrA,bcrA,Bacitracin transport ATP-binding protein BcrA,DLKHCADP_01359,FKLDPHGP_01212
group_705,,IS3 family transposase ISEnfa5,DLKHCADP_01370,FKLDPHGP_01201
ybhL_2,ybhL_2,Inner membrane protein YbhL,DLKHCADP_01365,FKLDPHGP_01206
hit,hit,Protein hit,DLKHCADP_01145,FKLDPHGP_01230
nagR_2,nagR_2,HTH-type transcriptional repressor NagR,DLKHCADP_01434,FKLDPHGP_01238
group_700,,hypothetical protein,DLKHCADP_01149,FKLDPHGP_01234
ecsA,ecsA,ABC-type transporter ATP-binding protein EcsA,DLKHCADP_01146,FKLDPHGP_01231
pbp2a,pbp2a,Penicillin-binding protein 2a,DLKHCADP_01158,FKLDPHGP_01222
galE_1,galE_1,UDP-glucose 4-epimerase,DLKHCADP_01317,1_refound_8_pseudo
rtpR,rtpR,Adenosylcobalamin-dependent ribonucleoside-triphosphate reductase,DLKHCADP_01366,FKLDPHGP_01205
group_694,,hypothetical protein,DLKHCADP_01140,FKLDPHGP_01225
group_693,,hypothetical protein,DLKHCADP_01144,FKLDPHGP_01229
group_692,,hypothetical protein,DLKHCADP_01152,FKLDPHGP_01216
group_690,,hypothetical protein,DLKHCADP_01371,FKLDPHGP_01200
group_685,,hypothetical protein,DLKHCADP_01147,FKLDPHGP_01232
group_684,,hypothetical protein,DLKHCADP_01368,FKLDPHGP_01203
group_681,,hypothetical protein,DLKHCADP_01437,FKLDPHGP_01241
group_680,,hypothetical protein,DLKHCADP_01153,FKLDPHGP_01217
dltB,dltB,Teichoic acid D-alanyltransferase,DLKHCADP_01029,FKLDPHGP_01355
group_677,,L-lactate oxidase,DLKHCADP_01085,FKLDPHGP_01404
group_676,,hypothetical protein,DLKHCADP_01111,FKLDPHGP_01430
group_675,,hypothetical protein,DLKHCADP_01093,FKLDPHGP_01412
group_674,,hypothetical protein,DLKHCADP_01103,FKLDPHGP_01422
ygcS,ygcS,Inner membrane metabolite transport protein YgcS,DLKHCADP_01105,FKLDPHGP_01424
yeaE,yeaE,Methylglyoxal reductase YeaE,DLKHCADP_01081,FKLDPHGP_01400
dltD,dltD,Protein DltD,DLKHCADP_01027,FKLDPHGP_01353
group_672,,hypothetical protein,DLKHCADP_01110,FKLDPHGP_01429
group_671,,hypothetical protein,DLKHCADP_01109,FKLDPHGP_01428
group_670,,hypothetical protein,DLKHCADP_01094,FKLDPHGP_01413
pbuG_2,pbuG_2,Guanine/hypoxanthine permease PbuG,DLKHCADP_01089,FKLDPHGP_01408
pbuG_1,pbuG_1,Guanine/hypoxanthine permease PbuG,DLKHCADP_01086,FKLDPHGP_01405
pbuG_3,pbuG_3,Guanine/hypoxanthine permease PbuG,DLKHCADP_01091,FKLDPHGP_01410
group_669,,hypothetical protein,DLKHCADP_01097,FKLDPHGP_01416
group_668,,hypothetical protein,DLKHCADP_01035,FKLDPHGP_01360
group_667,,hypothetical protein,DLKHCADP_01037,FKLDPHGP_01361
group_666,,hypothetical protein,DLKHCADP_01033,FKLDPHGP_01359
group_665,,hypothetical protein,DLKHCADP_01090,FKLDPHGP_01409
group_664,,hypothetical protein,DLKHCADP_01045,FKLDPHGP_01369
group_663,,hypothetical protein,DLKHCADP_01047,FKLDPHGP_01371
group_662,,hypothetical protein,DLKHCADP_01099,FKLDPHGP_01418
group_661,,hypothetical protein,DLKHCADP_01056,FKLDPHGP_01379
group_660,,hypothetical protein,DLKHCADP_01023,FKLDPHGP_01349
group_659,,hypothetical protein,DLKHCADP_01038,FKLDPHGP_01362
group_657,,hypothetical protein,DLKHCADP_01032,FKLDPHGP_01358
yidC2,yidC2,Membrane protein insertase YidC 2,DLKHCADP_01117,FKLDPHGP_01436
group_655,,hypothetical protein,DLKHCADP_01055,FKLDPHGP_01378
mnmE,mnmE,tRNA modification GTPase MnmE,DLKHCADP_01116,FKLDPHGP_01435
gnd,gnd,6-phosphogluconate dehydrogenase decarboxylating,DLKHCADP_01113,FKLDPHGP_01432
appC,appC,Cytochrome bd-II ubiquinol oxidase subunit 1,DLKHCADP_01059,FKLDPHGP_01381
