Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_gasseri__UMB1399__GCA_007826985.2,Lactobacillus_gasseri__UMB6735__GCA_030216645.1
rlmP,rlmP,23S rRNA (guanosine(2553)-2'-O)-methyltransferase RlmP,2,2,1.0,21,50,,,,762,762,762.0,DLKHCADP_01506,FKLDPHGP_01276
gluP,gluP,Rhomboid protease GluP,2,2,1.0,21,49,,,,687,687,687.0,DLKHCADP_01496,FKLDPHGP_01286
polA_2~~~polA,polA_2;polA,DNA polymerase I,2,2,1.0,21,48,,,,2382,2661,2521.5,DLKHCADP_01573,FKLDPHGP_01250
mutM,mutM,Formamidopyrimidine-DNA glycosylase,2,2,1.0,21,47,,,,831,831,831.0,DLKHCADP_01393,FKLDPHGP_01251
nrdR,nrdR,Transcriptional repressor NrdR,2,2,1.0,21,46,,,,465,465,465.0,DLKHCADP_01395,FKLDPHGP_01253
yidC,yidC,Membrane protein insertase YidC,2,2,1.0,21,45,,,,984,984,984.0,DLKHCADP_01508,FKLDPHGP_01274
group_793,,hypothetical protein,2,2,1.0,21,44,,,,549,549,549.0,DLKHCADP_01511,FKLDPHGP_01271
group_792,,hypothetical protein,2,2,1.0,21,43,,,,765,765,765.0,DLKHCADP_01388,FKLDPHGP_01260
nadD,nadD,Nicotinate-nucleotide adenylyltransferase,2,2,1.0,21,42,,,,627,627,627.0,DLKHCADP_01515,FKLDPHGP_01267
rplT_2~~~rplT,rplT_2;rplT,Large ribosomal subunit protein bL20,2,2,1.0,21,41,,,,219,357,288.0,DLKHCADP_01519,FKLDPHGP_01263
yccX,yccX,Acylphosphatase,2,2,1.0,21,40,,,,276,276,276.0,DLKHCADP_01507,FKLDPHGP_01275
rpmI,rpmI,Large ribosomal subunit protein bL35,2,2,1.0,21,39,,,,201,201,201.0,DLKHCADP_01390,FKLDPHGP_01262
dnaI,dnaI,Replicative helicase loader DnaI,2,2,1.0,21,38,,,,900,900,900.0,DLKHCADP_01397,FKLDPHGP_01255
pheT_2,pheT_2,Phenylalanine--tRNA ligase beta subunit,2,2,1.0,21,37,,,,2415,2415,2415.0,DLKHCADP_01503,FKLDPHGP_01279
yqgN,yqgN,putative protein YqgN,2,2,1.0,21,36,,,,558,558,558.0,DLKHCADP_01497,FKLDPHGP_01285
add1,add1,Adenosine deaminase 1,2,2,1.0,21,35,,,,1002,1002,1002.0,DLKHCADP_01518,FKLDPHGP_01264
greA_2,greA_2,Transcription elongation factor GreA,2,2,1.0,21,34,,,,483,483,483.0,DLKHCADP_01501,FKLDPHGP_01281
rsfS,rsfS,Ribosomal silencing factor RsfS,2,2,1.0,21,33,,,,348,348,348.0,DLKHCADP_01513,FKLDPHGP_01269
group_791,,hypothetical protein,2,2,1.0,21,32,,,,282,282,282.0,DLKHCADP_01476,FKLDPHGP_01306
tmcAL,tmcAL,tRNA(Met) cytidine acetate ligase,2,2,1.0,21,30,,,,1158,1158,1158.0,DLKHCADP_01512,FKLDPHGP_01270
group_790,,hypothetical protein,2,2,1.0,21,29,,,,2580,2580,2580.0,DLKHCADP_01500,FKLDPHGP_01282
group_789,,hypothetical protein,2,2,1.0,21,28,,,,426,426,426.0,DLKHCADP_01386,FKLDPHGP_01258
mvaS,mvaS,Hydroxymethylglutaryl-CoA synthase,2,2,1.0,21,27,,,,1164,1164,1164.0,DLKHCADP_01484,FKLDPHGP_01298
yodB,yodB,HTH-type transcriptional regulator YodB,2,2,1.0,21,26,,,,357,357,357.0,DLKHCADP_01505,FKLDPHGP_01277
thlA,thlA,Acetyl-CoA acetyltransferase,2,2,1.0,21,25,,,,1167,1167,1167.0,DLKHCADP_01486,FKLDPHGP_01296
miaA,miaA,tRNA dimethylallyltransferase,2,2,1.0,21,24,,,,921,921,921.0,DLKHCADP_01492,FKLDPHGP_01290
yfcJ,yfcJ,putative MFS-type transporter YfcJ,2,2,1.0,21,22,,,,1170,1170,1170.0,DLKHCADP_01490,FKLDPHGP_01292
group_788,,hypothetical protein,2,2,1.0,21,21,,,,498,498,498.0,DLKHCADP_01480,FKLDPHGP_01302
dpaL,dpaL,Diaminopropionate ammonia-lyase,2,2,1.0,21,20,,,,1182,1182,1182.0,DLKHCADP_01572,FKLDPHGP_01249
group_787,,putative HTH-type transcriptional regulator,2,2,1.0,21,19,,,,435,435,435.0,DLKHCADP_01385,FKLDPHGP_01257
glnA,glnA,Glutamine synthetase,2,2,1.0,21,18,,,,1338,1338,1338.0,DLKHCADP_01491,FKLDPHGP_01291
group_786,,hypothetical protein,2,2,1.0,21,17,,,,297,297,297.0,DLKHCADP_01488,FKLDPHGP_01294
dnaB_2,dnaB_2,Replicative helicase loading/DNA remodeling protein DnaB,2,2,1.0,21,16,,,,1341,1341,1341.0,DLKHCADP_01396,FKLDPHGP_01254
group_785,,hypothetical protein,2,2,1.0,21,15,,,,231,231,231.0,DLKHCADP_01495,FKLDPHGP_01287
rpmGA,rpmGA,Large ribosomal subunit protein bL33A,2,2,1.0,21,14,,,,150,150,150.0,DLKHCADP_01498,FKLDPHGP_01284
arlR,arlR,Response regulator ArlR,2,2,1.0,21,13,,,,729,729,729.0,DLKHCADP_01510,FKLDPHGP_01272
group_784,,hypothetical protein,2,2,1.0,21,12,,,,519,519,519.0,DLKHCADP_01517,FKLDPHGP_01265
thrS,thrS,Threonine--tRNA ligase,2,2,1.0,21,11,,,,1932,1932,1932.0,DLKHCADP_01384,FKLDPHGP_01256
infC,infC,Translation initiation factor IF-3,2,2,1.0,21,10,,,,519,519,519.0,DLKHCADP_01389,FKLDPHGP_01261
sasA_2,sasA_2,Adaptive-response sensory-kinase SasA,2,2,1.0,21,9,,,,1536,1536,1536.0,DLKHCADP_01509,FKLDPHGP_01273
pheS,pheS,Phenylalanine--tRNA ligase alpha subunit,2,2,1.0,21,8,,,,1050,1050,1050.0,DLKHCADP_01504,FKLDPHGP_01278
group_783,,Nucleoside triphosphate/diphosphate phosphatase,2,2,1.0,21,7,,,,591,591,591.0,DLKHCADP_01481,FKLDPHGP_01301
corC,corC,Magnesium and cobalt efflux protein CorC,2,2,1.0,21,6,,,,867,867,867.0,DLKHCADP_01478,FKLDPHGP_01304
menH_1,menH_1,2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase,2,2,1.0,21,5,,,,945,945,945.0,DLKHCADP_01487,FKLDPHGP_01295
group_782,,Bis(5'-nucleosyl)-tetraphosphatase symmetrical,2,2,1.0,21,4,,,,597,597,597.0,DLKHCADP_01514,FKLDPHGP_01268
coaE,coaE,Dephospho-CoA kinase,2,2,1.0,21,3,,,,597,597,597.0,DLKHCADP_01394,FKLDPHGP_01252
prfC,prfC,Peptide chain release factor 3,2,2,1.0,21,2,,,,1569,1569,1569.0,DLKHCADP_01477,FKLDPHGP_01305
ybiV_1,ybiV_1,Sugar phosphatase YbiV,2,2,1.0,21,1,,,,813,813,813.0,DLKHCADP_01489,FKLDPHGP_01293
ligA,ligA,DNA ligase,2,2,1.0,20,54,,,,2007,2007,2007.0,DLKHCADP_01268,FKLDPHGP_01191
tarD,tarD,Glycerol-3-phosphate cytidylyltransferase,2,2,1.0,20,53,,,,387,387,387.0,DLKHCADP_01284,FKLDPHGP_01174
yidA_1,yidA_1,Sugar phosphatase YidA,2,2,1.0,20,52,,,,816,816,816.0,DLKHCADP_01261,FKLDPHGP_01198
group_781,,hypothetical protein,2,2,1.0,20,51,,,,321,321,321.0,DLKHCADP_01294,FKLDPHGP_01164
group_780,,hypothetical protein,2,2,1.0,20,50,,,,441,456,448.5,DLKHCADP_01260,FKLDPHGP_01199
mshA,mshA,D-inositol-3-phosphate glycosyltransferase,2,2,1.0,20,49,,,,1101,1101,1101.0,DLKHCADP_01282,FKLDPHGP_01176
group_779,,Protein SprT-like protein,2,2,1.0,20,48,,,,459,459,459.0,DLKHCADP_01273,FKLDPHGP_01186
panT,panT,Pantothenate transporter PanT,2,2,1.0,20,46,,,,618,618,618.0,DLKHCADP_01271,FKLDPHGP_01188
psiE,psiE,Protein PsiE,2,2,1.0,20,45,,,,405,405,405.0,DLKHCADP_01299,FKLDPHGP_01159
pcrA,pcrA,ATP-dependent DNA helicase PcrA,2,2,1.0,20,44,,,,2244,2244,2244.0,DLKHCADP_01269,FKLDPHGP_01190
group_778,,hypothetical protein,2,2,1.0,20,43,,,,924,927,925.5,DLKHCADP_01296,FKLDPHGP_01162
group_776,,hypothetical protein,2,2,1.0,20,41,,,,1122,1122,1122.0,DLKHCADP_01286,FKLDPHGP_01172
group_775,,hypothetical protein,2,2,1.0,20,40,,,,627,627,627.0,DLKHCADP_01270,FKLDPHGP_01189
hexR,hexR,HTH-type transcriptional regulator HexR,2,2,1.0,20,39,,,,840,840,840.0,DLKHCADP_01291,FKLDPHGP_01167
nagR_1,nagR_1,HTH-type transcriptional repressor NagR,2,2,1.0,20,37,,,,702,702,702.0,DLKHCADP_01285,FKLDPHGP_01173
gatB_2,gatB_2,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,2,2,1.0,20,36,,,,1431,1431,1431.0,DLKHCADP_01264,FKLDPHGP_01195
tagA,tagA,N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase,2,2,1.0,20,35,,,,777,777,777.0,DLKHCADP_01283,FKLDPHGP_01175
yerH,yerH,putative lipoprotein YerH,2,2,1.0,20,34,,,,1140,1140,1140.0,DLKHCADP_01267,FKLDPHGP_01192
group_774,,hypothetical protein,2,2,1.0,20,33,,,,702,702,702.0,DLKHCADP_01274,FKLDPHGP_01185
group_773,,L-2-hydroxyisocaproate dehydrogenase,2,2,1.0,20,32,,,,909,909,909.0,DLKHCADP_01290,FKLDPHGP_01168
dagK,dagK,Diacylglycerol kinase,2,2,1.0,20,31,,,,909,909,909.0,DLKHCADP_01263,FKLDPHGP_01196
rfbX,rfbX,Putative O-antigen transporter,2,2,1.0,20,30,,,,1437,1437,1437.0,DLKHCADP_01275,FKLDPHGP_01184
tagF,tagF,Teichoic acid poly(glycerol phosphate) polymerase,2,2,1.0,20,29,,,,1149,1149,1149.0,DLKHCADP_01276,FKLDPHGP_01183
gatA_2,gatA_2,Glutamyl-tRNA(Gln) amidotransferase subunit A,2,2,1.0,20,28,,,,1440,1440,1440.0,DLKHCADP_01265,FKLDPHGP_01194
nadE,nadE,NH(3)-dependent NAD(+) synthetase,2,2,1.0,20,26,,,,834,858,846.0,DLKHCADP_01279,FKLDPHGP_01179
group_771,,hypothetical protein,2,2,1.0,20,25,,,,210,210,210.0,DLKHCADP_01262,FKLDPHGP_01197
group_770,,hypothetical protein,2,2,1.0,20,24,,,,786,786,786.0,DLKHCADP_01297,FKLDPHGP_01161
group_767,,Calcium-transporting ATPase 1,2,2,1.0,20,21,,,,2676,2676,2676.0,DLKHCADP_01278,FKLDPHGP_01180
pncB2,pncB2,Nicotinate phosphoribosyltransferase pncB2,2,2,1.0,20,20,,,,1473,1473,1473.0,DLKHCADP_01280,FKLDPHGP_01178
rclA,rclA,putative pyridine nucleotide-disulfide oxidoreductase RclA,2,2,1.0,20,18,,,,1332,1332,1332.0,DLKHCADP_01316,FKLDPHGP_01154
group_765,,hypothetical protein,2,2,1.0,20,16,,,,723,723,723.0,DLKHCADP_01298,FKLDPHGP_01160
group_764,,Aldo-keto reductase/MSMEI_2347,2,2,1.0,20,15,,,,858,858,858.0,DLKHCADP_01315,FKLDPHGP_01155
group_761,,hypothetical protein,2,2,1.0,20,11,,,,522,522,522.0,DLKHCADP_01300,FKLDPHGP_01158
iolG,iolG,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,2,2,1.0,20,10,,,,801,996,898.5,DLKHCADP_01293,FKLDPHGP_01165
group_760,,Sulfurtransferase,2,2,1.0,20,8,,,,303,303,303.0,DLKHCADP_01287,FKLDPHGP_01171
