Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_paragasseri__UMB0056__GCA_002884735.1,Lactobacillus_paragasseri__UMB5640__GCA_030216965.1,Lactobacillus_paragasseri__UMB6357__GCA_030216895.1
group_830,,hypothetical protein,3,3,1.0,13,2,,,,1209,1209,1209.0,CHONFCMC_01735,KGGMHOKE_00347,JPPLDLFD_01436
group_829,,hypothetical protein,3,3,1.0,13,1,,,,393,393,393.0,CHONFCMC_01721,KGGMHOKE_00332,JPPLDLFD_01451
group_827,,Macro domain-containing protein,3,3,1.0,11,91,,,,507,510,508.0,CHONFCMC_01656,KGGMHOKE_01763,JPPLDLFD_01515
apbE,apbE,FAD:protein FMN transferase,3,3,1.0,11,90,,,,927,927,927.0,CHONFCMC_01688,KGGMHOKE_01732,JPPLDLFD_01484
group_826,,hypothetical protein,3,3,1.0,11,89,,,,834,834,834.0,CHONFCMC_01696,KGGMHOKE_01724,JPPLDLFD_01476
group_824,,hypothetical protein,3,3,1.0,11,87,,,,6723,6759,6735.0,CHONFCMC_01709,KGGMHOKE_01711,JPPLDLFD_01462
manZ_5,manZ_5,PTS system mannose-specific EIID component,3,3,1.0,11,86,,,,930,930,930.0,CHONFCMC_01633,KGGMHOKE_01787,JPPLDLFD_01539
group_823,,hypothetical protein,3,3,1.0,11,85,,,,243,243,243.0,CHONFCMC_01682,KGGMHOKE_01738,JPPLDLFD_01490
rsmG,rsmG,Ribosomal RNA small subunit methyltransferase G,3,3,1.0,11,83,,,,720,720,720.0,CHONFCMC_01690,KGGMHOKE_01730,JPPLDLFD_01482
group_821,,Putative glutamine amidotransferase,3,3,1.0,11,82,,,,726,726,726.0,CHONFCMC_01637,KGGMHOKE_01783,JPPLDLFD_01534
thrP_2,thrP_2,Threonine/serine transporter ThrP,3,3,1.0,11,81,,,,1383,1383,1383.0,CHONFCMC_01636,KGGMHOKE_01784,JPPLDLFD_01535
bcaP_2,bcaP_2,Branched-chain amino acid permease BcaP,3,3,1.0,11,80,,,,1389,1389,1389.0,CHONFCMC_01642,KGGMHOKE_01778,JPPLDLFD_01529
group_820,,putative transporter,3,3,1.0,11,79,,,,1401,1401,1401.0,CHONFCMC_01638,KGGMHOKE_01782,JPPLDLFD_01533
group_817,,Aspartate racemase,3,3,1.0,11,76,,,,750,750,750.0,CHONFCMC_01702,KGGMHOKE_01718,JPPLDLFD_01470
menH_2,menH_2,2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase,3,3,1.0,11,75,,,,750,750,750.0,CHONFCMC_01671,KGGMHOKE_01748,JPPLDLFD_01500
thrP_3~~~thrP_2~~~thrP_1,thrP_3;thrP_2;thrP_1,Threonine/serine transporter ThrP,3,4,1.3333333333333333,11,74,,,,288,1392,1034.25,CHONFCMC_01635,KGGMHOKE_01785,JPPLDLFD_01537;JPPLDLFD_01536
smtB,smtB,HTH-type transcriptional repressor SmtB,3,3,1.0,11,73,,,,279,279,279.0,CHONFCMC_01711,KGGMHOKE_01709,JPPLDLFD_01460
ccpA_3,ccpA_3,Catabolite control protein A,3,3,1.0,11,72,,,,987,987,987.0,CHONFCMC_01653,KGGMHOKE_01767,JPPLDLFD_01525
glcR_2,glcR_2,HTH-type transcriptional repressor GlcR,3,3,1.0,11,70,,,,759,759,759.0,CHONFCMC_01706,KGGMHOKE_01714,JPPLDLFD_01465
yaaA,yaaA,DNA-binding and peroxide stress resistance protein YaaA,3,3,1.0,11,69,,,,759,759,759.0,CHONFCMC_01669,KGGMHOKE_01750,JPPLDLFD_01502
scrB_2,scrB_2,Sucrose-6-phosphate hydrolase,3,3,1.0,11,68,,,,1470,1470,1470.0,CHONFCMC_01654,KGGMHOKE_01766,JPPLDLFD_01524
manX_2,manX_2,PTS system mannose-specific EIIAB component,3,3,1.0,11,67,,,,999,999,999.0,CHONFCMC_01631,KGGMHOKE_01789,JPPLDLFD_01541
group_815,,hypothetical protein,3,3,1.0,11,66,,,,762,762,762.0,CHONFCMC_01664,KGGMHOKE_01755,JPPLDLFD_01507
bglH_3,bglH_3,Aryl-phospho-beta-D-glucosidase BglH,3,3,1.0,11,65,,,,1479,1479,1479.0,CHONFCMC_01680,KGGMHOKE_01740,JPPLDLFD_01492
pepD,pepD,Dipeptidase,3,3,1.0,11,64,,,,1488,1488,1488.0,CHONFCMC_01681,KGGMHOKE_01739,JPPLDLFD_01491
group_814,,hypothetical protein,3,4,1.3333333333333333,11,63,,,,255,522,392.25,CHONFCMC_01674;CHONFCMC_01675,KGGMHOKE_01745,JPPLDLFD_01497
asnA,asnA,Aspartate--ammonia ligase,3,3,1.0,11,62,,,,1011,1011,1011.0,CHONFCMC_01640,KGGMHOKE_01780,JPPLDLFD_01531
glcA,glcA,Glycolate permease GlcA,3,3,1.0,11,61,,,,1512,1512,1512.0,CHONFCMC_01715,KGGMHOKE_01705,JPPLDLFD_01456
soj,soj,Sporulation initiation inhibitor protein Soj,3,3,1.0,11,60,,,,774,774,774.0,CHONFCMC_01692,KGGMHOKE_01728,JPPLDLFD_01480
ptpB_1,ptpB_1,Triple specificity protein phosphatase PtpB,3,3,1.0,11,59,,,,777,777,777.0,CHONFCMC_01645,KGGMHOKE_01775,JPPLDLFD_01526
group_813,,hypothetical protein,3,3,1.0,11,58,,,,537,537,537.0,CHONFCMC_01689,KGGMHOKE_01731,JPPLDLFD_01483
yicI,yicI;,Alpha-xylosidase;hypothetical protein,3,4,1.3333333333333333,11,57,,,,195,2319,1671.0,CHONFCMC_01705,KGGMHOKE_01715,JPPLDLFD_01467;JPPLDLFD_01466
nfr1,nfr1,NADH-dependent flavin reductase subunit 1,3,3,1.0,11,56,,,,543,543,543.0,CHONFCMC_01684,KGGMHOKE_01736,JPPLDLFD_01488
ybiV,ybiV,Sugar phosphatase YbiV,3,3,1.0,11,55,,,,786,786,786.0,CHONFCMC_01710,KGGMHOKE_01710,JPPLDLFD_01461
murE,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase,3,3,1.0,11,54,,,,1572,1572,1572.0,CHONFCMC_01701,KGGMHOKE_01719,JPPLDLFD_01471
mupG,mupG,6-phospho-N-acetylmuramidase,3,3,1.0,11,52,,,,1041,1041,1041.0,CHONFCMC_01686,KGGMHOKE_01734,JPPLDLFD_01486
znuB,znuB,High-affinity zinc uptake system membrane protein ZnuB,3,3,1.0,11,51,,,,792,792,792.0,CHONFCMC_01714,KGGMHOKE_01706,JPPLDLFD_01457
group_812,,putative ABC transporter permease,3,3,1.0,11,50,,,,1053,1053,1053.0,CHONFCMC_01676,KGGMHOKE_01744,JPPLDLFD_01496
uup_9,uup_9,ATP-binding protein Uup,3,3,1.0,11,49,,,,1602,1602,1602.0,CHONFCMC_01657,KGGMHOKE_01762,JPPLDLFD_01514
nfr2,nfr2,NADH-dependent flavin reductase subunit 2,3,3,1.0,11,48,,,,489,555,533.0,CHONFCMC_01685,KGGMHOKE_01735,JPPLDLFD_01487
ptpB_2,ptpB_2,Triple specificity protein phosphatase PtpB,3,3,1.0,11,47,,,,804,804,804.0,CHONFCMC_01687,KGGMHOKE_01733,JPPLDLFD_01485
sorA_2,sorA_2,PTS system sorbose-specific EIIC component,3,3,1.0,11,46,,,,804,804,804.0,CHONFCMC_01632,KGGMHOKE_01788,JPPLDLFD_01540
ychF,ychF,Ribosome-binding ATPase YchF,3,3,1.0,11,45,,,,1101,1101,1101.0,CHONFCMC_01695,KGGMHOKE_01725,JPPLDLFD_01477
thiD,thiD,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,3,3,1.0,11,43,,,,819,819,819.0,CHONFCMC_01644,KGGMHOKE_01776,JPPLDLFD_01527
group_810,,putative ABC transporter ATP-binding protein,3,3,1.0,11,42,,,,1731,1731,1731.0,CHONFCMC_01697,KGGMHOKE_01723,JPPLDLFD_01475
group_809,,hypothetical protein,3,3,1.0,11,41,,,,1776,1776,1776.0,CHONFCMC_01665,KGGMHOKE_01754,JPPLDLFD_01506
rcsC,rcsC,Sensor histidine kinase RcsC,3,3,1.0,11,40,,,,1146,1146,1146.0,CHONFCMC_01700,KGGMHOKE_01720,JPPLDLFD_01472
pspB,pspB,Putative phosphoserine phosphatase 2,3,3,1.0,11,39,,,,600,600,600.0,CHONFCMC_01673,KGGMHOKE_01746,JPPLDLFD_01498
group_808,,putative ABC transporter ATP-binding protein,3,3,1.0,11,38,,,,1851,1851,1851.0,CHONFCMC_01698,KGGMHOKE_01722,JPPLDLFD_01474
group_807,,hypothetical protein,3,3,1.0,11,37,,,,360,360,360.0,CHONFCMC_01668,KGGMHOKE_01751,JPPLDLFD_01503
group_806,,hypothetical protein,3,3,1.0,11,36,,,,603,603,603.0,CHONFCMC_01670,KGGMHOKE_01749,JPPLDLFD_01501
group_805,bglF_3,PTS system beta-glucoside-specific EIIBCA component,3,3,1.0,11,35,,,,1875,1875,1875.0,CHONFCMC_01679,KGGMHOKE_01741,JPPLDLFD_01493
group_804,,hypothetical protein,3,3,1.0,11,34,,,,363,363,363.0,CHONFCMC_01634,KGGMHOKE_01786,JPPLDLFD_01538
scrA_3,scrA_3,PTS system sucrose-specific EIIBCA component,3,3,1.0,11,33,,,,1944,1944,1944.0,CHONFCMC_01655,KGGMHOKE_01765,JPPLDLFD_01523
group_803,,hypothetical protein,3,3,1.0,11,32,,,,624,624,624.0,CHONFCMC_01683,KGGMHOKE_01737,JPPLDLFD_01489
group_802,licT_3,Transcription antiterminator LicT,3,3,1.0,11,31,,,,849,849,849.0,CHONFCMC_01678,KGGMHOKE_01742,JPPLDLFD_01494
fruA,fruA,PTS system fructose-specific EIIABC component,3,3,1.0,11,30,,,,1986,1986,1986.0,CHONFCMC_01708,KGGMHOKE_01712,JPPLDLFD_01463
cobC,cobC,Adenosylcobalamin/alpha-ribazole phosphatase,3,3,1.0,11,29,,,,627,627,627.0,CHONFCMC_01672,KGGMHOKE_01747,JPPLDLFD_01499
ybbH_1,ybbH_1,putative HTH-type transcriptional regulator YbbH,3,3,1.0,11,28,,,,852,852,852.0,CHONFCMC_01663,KGGMHOKE_01756,JPPLDLFD_01508
sbnD_2,sbnD_2,Staphyloferrin B transporter,3,3,1.0,11,26,,,,1215,1215,1215.0,CHONFCMC_01659,KGGMHOKE_01760,JPPLDLFD_01512
yhaP,yhaP,putative protein YhaP,3,3,1.0,11,24,,,,1227,1227,1227.0,CHONFCMC_01704,KGGMHOKE_01716,JPPLDLFD_01468
group_800,,hypothetical protein,3,3,1.0,11,23,,,,870,870,870.0,CHONFCMC_01662,KGGMHOKE_01757,JPPLDLFD_01509
group_799,,hypothetical protein,3,3,1.0,11,22,,,,873,873,873.0,CHONFCMC_01660,KGGMHOKE_01759,JPPLDLFD_01511
spo0J,spo0J,Stage 0 sporulation protein J,3,3,1.0,11,20,,,,882,882,882.0,CHONFCMC_01693,KGGMHOKE_01727,JPPLDLFD_01479
noc,noc,Nucleoid occlusion protein,3,3,1.0,11,19,,,,882,882,882.0,CHONFCMC_01691,KGGMHOKE_01729,JPPLDLFD_01481
znuC,znuC,Zinc import ATP-binding protein ZnuC,3,3,1.0,11,18,,,,660,660,660.0,CHONFCMC_01713,KGGMHOKE_01707,JPPLDLFD_01458
aroD,aroD,3-dehydroquinate dehydratase,3,3,1.0,11,17,,,,423,423,423.0,CHONFCMC_01661,KGGMHOKE_01758,JPPLDLFD_01510
yicL_1,yicL_1,putative inner membrane transporter YicL,3,3,1.0,11,13,,,,894,894,894.0,CHONFCMC_01641,KGGMHOKE_01779,JPPLDLFD_01530
group_796,btuD_2,Vitamin B12 import ATP-binding protein BtuD,3,3,1.0,11,12,,,,897,897,897.0,CHONFCMC_01703,KGGMHOKE_01717,JPPLDLFD_01469
group_795,,hypothetical protein,3,3,1.0,11,11,,,,900,900,900.0,CHONFCMC_01712,KGGMHOKE_01708,JPPLDLFD_01459
group_794,,hypothetical protein,3,3,1.0,11,10,,,,900,900,900.0,CHONFCMC_01666,KGGMHOKE_01753,JPPLDLFD_01505
