Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_crispatus__UMB0803__GCA_002861765.1,Lactobacillus_crispatus__UMB6887__GCA_030216545.1,Lactobacillus_crispatus__UMB7805__GCA_030226265.1,Lactobacillus_crispatus__UMB8929B__GCA_030230695.1
uup_1~~~uup_8~~~uup_14,uup_1;uup_8;uup_14,ATP-binding protein Uup,4,4,1.0,118,3,,,,774,867,842.25,HJHFJAOG_02040,MLMIAKCI_00014,AOHABJFI_00103,LCPJMJGF_00895
group_1095,,hypothetical protein,4,4,1.0,118,2,,,,1242,1242,1242.0,HJHFJAOG_02041,MLMIAKCI_00013,AOHABJFI_00102,LCPJMJGF_00896
group_1094,,hypothetical protein,4,4,1.0,118,1,,,,1116,1116,1116.0,HJHFJAOG_02042,MLMIAKCI_00012,AOHABJFI_00101,LCPJMJGF_00897
group_1089,,hypothetical protein,4,4,1.0,115,4,,,,207,228,214.0,HJHFJAOG_01994,1_refound_20,AOHABJFI_01478,LCPJMJGF_00121
clcA_3,clcA_3,H(+)/Cl(-) exchange transporter ClcA,4,4,1.0,115,3,,,,441,441,441.0,HJHFJAOG_01992,MLMIAKCI_00520,AOHABJFI_01480,LCPJMJGF_00119
group_1088,,hypothetical protein,4,4,1.0,115,2,,,,363,363,363.0,HJHFJAOG_01993,MLMIAKCI_00519,AOHABJFI_01479,LCPJMJGF_00120
group_1087,,hypothetical protein,4,4,1.0,115,1,,,,360,456,392.0,HJHFJAOG_01991,MLMIAKCI_00521,AOHABJFI_01481,3_refound_42
group_1084,,ISNCY family transposase ISSeq2,4,4,1.0,113,2,,,,918,1392,1273.5,HJHFJAOG_01987,MLMIAKCI_00417,AOHABJFI_01483,LCPJMJGF_00117
clcA_2,clcA_2,H(+)/Cl(-) exchange transporter ClcA,4,4,1.0,113,1,,,,408,408,408.0,HJHFJAOG_01988,MLMIAKCI_00416,AOHABJFI_01482,LCPJMJGF_00118
pepDA_3,pepDA_3,Dipeptidase A,4,4,1.0,111,10,,,,1413,1413,1413.0,HJHFJAOG_01952,MLMIAKCI_02335,AOHABJFI_02284,LCPJMJGF_01022
yaaA,yaaA,DNA-binding and peroxide stress resistance protein YaaA,4,4,1.0,111,6,,,,762,762,762.0,HJHFJAOG_01958,MLMIAKCI_02341,AOHABJFI_02278,LCPJMJGF_02158
gpmA_6,gpmA_6,23-bisphosphoglycerate-dependent phosphoglycerate mutase,4,4,1.0,111,5,,,,600,600,600.0,HJHFJAOG_01956,MLMIAKCI_02339,AOHABJFI_02280,LCPJMJGF_01015
group_1081,,hypothetical protein,4,4,1.0,111,4,,,,756,756,756.0,HJHFJAOG_01957,MLMIAKCI_02340,AOHABJFI_02279,LCPJMJGF_02157
ytrE,ytrE,ABC transporter ATP-binding protein YtrE,4,4,1.0,111,3,,,,675,675,675.0,HJHFJAOG_01953,MLMIAKCI_02336,AOHABJFI_02283,LCPJMJGF_01018
group_1080,,putative ABC transporter permease,4,4,1.0,111,2,,,,1062,1062,1062.0,HJHFJAOG_01954,MLMIAKCI_02337,AOHABJFI_02282,LCPJMJGF_01017
group_1079,,hypothetical protein,4,4,1.0,111,1,,,,525,525,525.0,HJHFJAOG_01955,MLMIAKCI_02338,AOHABJFI_02281,LCPJMJGF_01016
group_1078,,hypothetical protein,4,4,1.0,110,5,,,,1158,1158,1158.0,HJHFJAOG_01947,MLMIAKCI_02330,AOHABJFI_02218,LCPJMJGF_01381
xerS,xerS,Tyrosine recombinase XerS,4,4,1.0,110,4,,,,1068,1068,1068.0,HJHFJAOG_01950,MLMIAKCI_02333,AOHABJFI_02215,LCPJMJGF_01378
group_1077,,hypothetical protein,4,4,1.0,110,3,,,,612,612,612.0,HJHFJAOG_01948,MLMIAKCI_02331,AOHABJFI_02217,LCPJMJGF_01380
mutS2,mutS2,Endonuclease MutS2,4,4,1.0,110,2,,,,1878,1878,1878.0,HJHFJAOG_01951,MLMIAKCI_02334,AOHABJFI_02214,LCPJMJGF_01377
group_1076,,hypothetical protein,4,4,1.0,110,1,,,,459,459,459.0,HJHFJAOG_01949,MLMIAKCI_02332,AOHABJFI_02216,LCPJMJGF_01379
group_1072,,hypothetical protein,4,4,1.0,108,9,,,,246,246,246.0,HJHFJAOG_01936,MLMIAKCI_02352,AOHABJFI_02203,LCPJMJGF_00039
mdtD_2,mdtD_2,Putative multidrug resistance protein MdtD,4,4,1.0,108,8,,,,726,726,726.0,HJHFJAOG_01939,MLMIAKCI_02355,AOHABJFI_02200,LCPJMJGF_00042
group_1071,,hypothetical protein,4,4,1.0,108,7,,,,774,774,774.0,HJHFJAOG_01940,MLMIAKCI_00615,AOHABJFI_02199,LCPJMJGF_00043
group_1070,,hypothetical protein,4,4,1.0,108,6,,,,195,195,195.0,0_refound_1,MLMIAKCI_02351,2_refound_29,LCPJMJGF_00038
group_1069,,hypothetical protein,4,4,1.0,108,5,,,,636,636,636.0,HJHFJAOG_01933,MLMIAKCI_02348,AOHABJFI_02206,LCPJMJGF_00035
group_1068,,hypothetical protein,4,4,1.0,108,4,,,,657,657,657.0,HJHFJAOG_01934,MLMIAKCI_02349,AOHABJFI_02205,LCPJMJGF_00036
emrY,emrY,putative multidrug resistance protein EmrY,4,4,1.0,108,3,,,,555,555,555.0,HJHFJAOG_01937,MLMIAKCI_02353,AOHABJFI_02202,LCPJMJGF_00040
group_1067,,IS200/IS605 family transposase ISLjo5,4,4,1.0,108,2,,,,1332,1332,1332.0,HJHFJAOG_01938,MLMIAKCI_02354,AOHABJFI_02201,LCPJMJGF_00041
group_1066,,hypothetical protein,4,4,1.0,108,1,,,,732,732,732.0,HJHFJAOG_01935,MLMIAKCI_02350,AOHABJFI_02204,LCPJMJGF_00037
csd,csd,putative cysteine desulfurase,4,4,1.0,106,7,,,,1239,1239,1239.0,HJHFJAOG_01869,MLMIAKCI_02217,AOHABJFI_02167,LCPJMJGF_02205
sufU,sufU,Zinc-dependent sulfurtransferase SufU,4,4,1.0,106,6,,,,462,462,462.0,HJHFJAOG_01870,MLMIAKCI_02216,AOHABJFI_02166,LCPJMJGF_02204
mntH,mntH,Divalent metal cation transporter MntH,4,4,1.0,106,5,,,,1509,1509,1509.0,HJHFJAOG_01873,MLMIAKCI_02213,AOHABJFI_02163,LCPJMJGF_02201
sufT,sufT,Fe-S protein maturation auxiliary factor SufT,4,4,1.0,106,4,,,,324,324,324.0,HJHFJAOG_01872,MLMIAKCI_02214,AOHABJFI_02164,LCPJMJGF_02202
group_1060,,Iron-sulfur cluster assembly SufBD family protein,4,4,1.0,106,3,,,,1209,1209,1209.0,HJHFJAOG_01868,MLMIAKCI_02218,AOHABJFI_02168,LCPJMJGF_02206
group_1059,,putative ABC transporter ATP-binding protein,4,4,1.0,106,2,,,,795,795,795.0,HJHFJAOG_01867,MLMIAKCI_02219,AOHABJFI_02169,LCPJMJGF_02207
group_1058,,Iron-sulfur cluster assembly SufBD family protein,4,4,1.0,106,1,,,,1404,1404,1404.0,HJHFJAOG_01871,MLMIAKCI_02215,AOHABJFI_02165,LCPJMJGF_02203
group_1057,,hypothetical protein,4,4,1.0,105,7,,,,321,321,321.0,HJHFJAOG_01865,MLMIAKCI_01948,AOHABJFI_02073,LCPJMJGF_02176
argS,argS,Arginine--tRNA ligase,4,4,1.0,105,6,,,,1686,1686,1686.0,HJHFJAOG_01860,MLMIAKCI_01943,AOHABJFI_02078,LCPJMJGF_02171
dacA_2,dacA_2,D-alanyl-D-alanine carboxypeptidase DacA,4,4,1.0,105,5,,,,1302,1302,1302.0,HJHFJAOG_01863,MLMIAKCI_01946,AOHABJFI_02075,LCPJMJGF_02174
group_1056,,hypothetical protein,4,4,1.0,105,4,,,,1374,1374,1374.0,HJHFJAOG_01866,MLMIAKCI_01949,AOHABJFI_02072,LCPJMJGF_02177
fba,fba,Fructose-bisphosphate aldolase,4,4,1.0,105,3,,,,918,918,918.0,HJHFJAOG_01859,MLMIAKCI_01942,AOHABJFI_02079,LCPJMJGF_02170
nnrD,nnrD,ADP-dependent (S)-NAD(P)H-hydrate dehydratase,4,4,1.0,105,2,,,,849,849,849.0,HJHFJAOG_01862,MLMIAKCI_01945,AOHABJFI_02076,LCPJMJGF_02173
yciB,yciB,Putative LD-transpeptidase YciB,4,4,1.0,105,1,,,,687,687,687.0,HJHFJAOG_01861,MLMIAKCI_01944,AOHABJFI_02077,LCPJMJGF_02172
group_1055,,hypothetical protein,4,5,1.25,104,14,,,,228,1041,816.0,HJHFJAOG_01844,MLMIAKCI_01901,AOHABJFI_02036,LCPJMJGF_00057;LCPJMJGF_00056
group_1054,,hypothetical protein,4,4,1.0,104,13,,,,213,213,213.0,0_refound_3,1_refound_16,2_refound_30,LCPJMJGF_00055
group_1053,,D-ribitol-5-phosphate phosphatase,4,4,1.0,104,12,,,,597,597,597.0,HJHFJAOG_01843,MLMIAKCI_01902,AOHABJFI_02037,LCPJMJGF_00059
group_1052,,hypothetical protein,4,4,1.0,104,11,,,,1032,1032,1032.0,HJHFJAOG_01846,MLMIAKCI_01899,AOHABJFI_02034,LCPJMJGF_02187
group_1051,,hypothetical protein,4,4,1.0,104,10,,,,678,747,695.25,HJHFJAOG_01842,MLMIAKCI_01903,AOHABJFI_02038,LCPJMJGF_00060
group_1050,,hypothetical protein,4,5,1.25,104,9,,,,147,648,499.8,HJHFJAOG_02055,MLMIAKCI_01893,AOHABJFI_00471;AOHABJFI_00080,LCPJMJGF_02193
group_1049,,DegV domain-containing protein,4,4,1.0,104,8,,,,834,834,834.0,HJHFJAOG_02057,MLMIAKCI_01895,AOHABJFI_00082,LCPJMJGF_02191
mepA_2,;mepA_2,hypothetical protein;Multidrug export protein MepA,4,5,1.25,104,7,,,,189,1350,1058.4,HJHFJAOG_01840,MLMIAKCI_00411;MLMIAKCI_00410,AOHABJFI_02040,LCPJMJGF_00062
group_1048,,hypothetical protein,4,4,1.0,104,6,,,,576,576,576.0,HJHFJAOG_02058,MLMIAKCI_01896,AOHABJFI_00083,LCPJMJGF_02190
yjaB,yjaB,Peptidyl-lysine N-acetyltransferase YjaB,4,4,1.0,104,5,,,,444,450,448.5,HJHFJAOG_01841,MLMIAKCI_00409,AOHABJFI_02039,LCPJMJGF_00061
cbh,cbh,Bile salt hydrolase/transferase,4,4,1.0,104,4,,,,978,978,978.0,HJHFJAOG_01848,MLMIAKCI_01897,AOHABJFI_02032,LCPJMJGF_02189
dps_1~~~dps,dps_1;dps,DNA protection during starvation protein,4,4,1.0,104,3,,,,468,468,468.0,HJHFJAOG_01845,MLMIAKCI_01900,AOHABJFI_02035,LCPJMJGF_00054
eno2,eno2,Enolase 2,4,4,1.0,104,1,,,,1287,1287,1287.0,HJHFJAOG_02056,MLMIAKCI_01894,AOHABJFI_00081,LCPJMJGF_02192
simA,simA,6-phospho-alpha-glucosidase 1,4,4,1.0,101,9,,,,1338,1338,1338.0,HJHFJAOG_01831,MLMIAKCI_02097,AOHABJFI_01935,LCPJMJGF_00814
group_1041,,Calcium-transporting ATPase 1,4,4,1.0,101,8,,,,2652,2652,2652.0,HJHFJAOG_01825,MLMIAKCI_02091,AOHABJFI_01941,LCPJMJGF_00808
group_1040,,hypothetical protein,4,4,1.0,101,7,,,,141,141,141.0,HJHFJAOG_01828,MLMIAKCI_02094,AOHABJFI_01938,LCPJMJGF_00811
group_1039,,hypothetical protein,4,4,1.0,101,6,,,,1272,1272,1272.0,HJHFJAOG_01823,MLMIAKCI_02089,AOHABJFI_01943,LCPJMJGF_00806
glvR_2,glvR_2,HTH-type transcriptional regulator GlvR,4,4,1.0,101,5,,,,774,774,774.0,HJHFJAOG_01830,MLMIAKCI_02096,AOHABJFI_01936,LCPJMJGF_00813
ansA,ansA,L-asparaginase 1,4,4,1.0,101,4,,,,993,993,993.0,HJHFJAOG_01829,MLMIAKCI_02095,AOHABJFI_01937,LCPJMJGF_00812
group_1038,,hypothetical protein,4,4,1.0,101,3,,,,279,288,285.75,HJHFJAOG_01827,MLMIAKCI_02093,AOHABJFI_01939,LCPJMJGF_00810
group_1037,,hypothetical protein,4,4,1.0,101,2,,,,399,399,399.0,HJHFJAOG_01826,MLMIAKCI_02092,AOHABJFI_01940,LCPJMJGF_00809
group_1036,,hypothetical protein,4,4,1.0,101,1,,,,687,687,687.0,HJHFJAOG_01824,MLMIAKCI_02090,AOHABJFI_01942,LCPJMJGF_00807
ribBA,ribBA,Riboflavin biosynthesis protein RibBA,4,4,1.0,98,1,,,,1179,1179,1179.0,HJHFJAOG_01761,MLMIAKCI_00120,AOHABJFI_00092,LCPJMJGF_00149
pepE_3,pepE_3,Aminopeptidase E,4,4,1.0,96,7,,,,1314,1314,1314.0,HJHFJAOG_01753,MLMIAKCI_01536,AOHABJFI_02008,LCPJMJGF_01918
dppA_6,dppA_6,Dipeptide-binding protein,4,4,1.0,96,6,,,,1620,1620,1620.0,HJHFJAOG_01751,MLMIAKCI_01538,AOHABJFI_02006,LCPJMJGF_01916
yedJ,yedJ,putative protein YedJ,4,4,1.0,96,5,,,,654,654,654.0,HJHFJAOG_01752,MLMIAKCI_01537,AOHABJFI_02007,LCPJMJGF_01917
dppA_5,dppA_5,Dipeptide-binding protein,4,4,1.0,96,4,,,,1629,1629,1629.0,HJHFJAOG_01750,MLMIAKCI_01539,AOHABJFI_02005,LCPJMJGF_01915
group_1029,,hypothetical protein,4,4,1.0,96,3,,,,1395,1395,1395.0,HJHFJAOG_01757,MLMIAKCI_01532,AOHABJFI_02011,LCPJMJGF_01922
tyrS1,tyrS1,Tyrosine--tRNA ligase 1,4,4,1.0,96,1,,,,1263,1263,1263.0,HJHFJAOG_01756,MLMIAKCI_01533,AOHABJFI_02010,LCPJMJGF_01921
group_1027,,hypothetical protein,4,4,1.0,95,12,,,,315,315,315.0,HJHFJAOG_01724,MLMIAKCI_02005,AOHABJFI_01876,LCPJMJGF_00182
group_1026,,hypothetical protein,4,4,1.0,95,11,,,,618,618,618.0,HJHFJAOG_01733,MLMIAKCI_01996,AOHABJFI_01885,LCPJMJGF_00191
group_1025,,hypothetical protein,4,4,1.0,95,10,,,,663,663,663.0,HJHFJAOG_01735,MLMIAKCI_01994,AOHABJFI_01887,LCPJMJGF_00193
group_1024,,hypothetical protein,4,4,1.0,95,9,,,,540,540,540.0,HJHFJAOG_01734,MLMIAKCI_01995,AOHABJFI_01886,LCPJMJGF_00192
citX,citX,Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,4,4,1.0,95,8,,,,537,537,537.0,HJHFJAOG_01730,MLMIAKCI_01999,AOHABJFI_01882,LCPJMJGF_00188
eis,eis,N-acetyltransferase Eis,4,4,1.0,95,7,,,,1167,1167,1167.0,HJHFJAOG_01731,MLMIAKCI_01998,AOHABJFI_01883,LCPJMJGF_00189
arcB,arcB,Ornithine carbamoyltransferase catabolic,4,4,1.0,95,6,,,,360,432,414.0,HJHFJAOG_01728,MLMIAKCI_02001,AOHABJFI_01880,LCPJMJGF_00186
argI,argI,Ornithine carbamoyltransferase catabolic,4,4,1.0,95,5,,,,903,903,903.0,HJHFJAOG_01729,MLMIAKCI_02000,AOHABJFI_01881,LCPJMJGF_00187
kdpB,kdpB,Potassium-transporting ATPase ATP-binding subunit,4,4,1.0,95,4,,,,2274,2274,2274.0,HJHFJAOG_01725,MLMIAKCI_02004,AOHABJFI_01877,LCPJMJGF_00183
arcA,arcA,Arginine deiminase,4,4,1.0,95,3,,,,1230,1230,1230.0,HJHFJAOG_01727,MLMIAKCI_02002,AOHABJFI_01879,LCPJMJGF_00185
group_1023,,hypothetical protein,4,4,1.0,95,2,,,,162,162,162.0,HJHFJAOG_01732,MLMIAKCI_01997,AOHABJFI_01884,LCPJMJGF_00190
benM_2,benM_2,HTH-type transcriptional regulator BenM,4,4,1.0,95,1,,,,849,849,849.0,HJHFJAOG_01726,MLMIAKCI_02003,AOHABJFI_01878,LCPJMJGF_00184
rlmH,rlmH,Ribosomal RNA large subunit methyltransferase H,4,4,1.0,94,14,,,,480,480,480.0,HJHFJAOG_01697,MLMIAKCI_01643,AOHABJFI_01540,LCPJMJGF_02026
htrA,htrA,Serine protease Do-like HtrA,4,4,1.0,94,13,,,,1263,1263,1263.0,HJHFJAOG_01698,MLMIAKCI_01642,AOHABJFI_01539,LCPJMJGF_02027
group_1022,,hypothetical protein,4,4,1.0,94,12,,,,222,222,222.0,HJHFJAOG_02067,MLMIAKCI_01628,AOHABJFI_01525,LCPJMJGF_02041
walJ,walJ,Exodeoxyribonuclease WalJ,4,4,1.0,94,11,,,,798,798,798.0,HJHFJAOG_01699,MLMIAKCI_01641,AOHABJFI_01538,LCPJMJGF_02028
walK,walK,Sensor protein kinase WalK,4,4,1.0,94,10,,,,1854,1854,1854.0,HJHFJAOG_01702,MLMIAKCI_01638,AOHABJFI_01535,LCPJMJGF_02031
group_1021,,hypothetical protein,4,4,1.0,94,9,,,,222,222,222.0,HJHFJAOG_01705,MLMIAKCI_01635,AOHABJFI_01532,LCPJMJGF_02034
group_1020,,hypothetical protein,4,4,1.0,94,8,,,,870,870,870.0,HJHFJAOG_02068,MLMIAKCI_01629,AOHABJFI_01526,LCPJMJGF_02040
gspA,;gspA,hypothetical protein;General stress protein A,4,4,1.0,94,7,,,,744,954,901.5,HJHFJAOG_02070,MLMIAKCI_01631,AOHABJFI_01528,LCPJMJGF_02038
group_1019,,hypothetical protein,4,4,1.0,94,6,,,,762,762,762.0,HJHFJAOG_01707,MLMIAKCI_01633,AOHABJFI_01530,LCPJMJGF_02036
group_1018,,hypothetical protein,4,4,1.0,94,5,,,,825,825,825.0,HJHFJAOG_01700,MLMIAKCI_01640,AOHABJFI_01537,LCPJMJGF_02029
walR,walR,Transcriptional regulatory protein WalR,4,4,1.0,94,4,,,,717,717,717.0,HJHFJAOG_01703,MLMIAKCI_01637,AOHABJFI_01534,LCPJMJGF_02032
group_1017,,hypothetical protein,4,4,1.0,94,3,,,,1353,1353,1353.0,HJHFJAOG_01701,MLMIAKCI_01639,AOHABJFI_01536,LCPJMJGF_02030
waaO,waaO,Lipopolysaccharide glucosyltransferase WaaO,4,4,1.0,94,2,,,,837,837,837.0,HJHFJAOG_01708,MLMIAKCI_01632,AOHABJFI_01529,LCPJMJGF_02037
group_1016,,hypothetical protein,4,4,1.0,94,1,,,,948,948,948.0,HJHFJAOG_02069,MLMIAKCI_01630,AOHABJFI_01527,LCPJMJGF_02039
ushA,ushA,Protein UshA,4,4,1.0,93,13,,,,1383,1383,1383.0,HJHFJAOG_01689,MLMIAKCI_02153,AOHABJFI_01848,LCPJMJGF_00885
yutF,yutF,5'-nucleotidase YutF,4,4,1.0,93,12,,,,771,771,771.0,HJHFJAOG_01687,MLMIAKCI_02151,AOHABJFI_01850,LCPJMJGF_00883
group_1015,,hypothetical protein,4,4,1.0,93,11,,,,369,369,369.0,HJHFJAOG_01694,MLMIAKCI_00017,AOHABJFI_01843,LCPJMJGF_00890
group_1014,,hypothetical protein,4,4,1.0,93,10,,,,846,852,847.5,HJHFJAOG_01696,MLMIAKCI_00015,AOHABJFI_01841,LCPJMJGF_00892
group_1013,,hypothetical protein,4,4,1.0,93,9,,,,609,609,609.0,HJHFJAOG_01686,MLMIAKCI_02150,AOHABJFI_01851,LCPJMJGF_00882
group_1012,,hypothetical protein,4,4,1.0,93,8,,,,1371,1371,1371.0,HJHFJAOG_01691,MLMIAKCI_02155,AOHABJFI_01846,LCPJMJGF_00887
pepQ,pepQ,Xaa-Pro dipeptidase,4,4,1.0,93,7,,,,1107,1107,1107.0,HJHFJAOG_01693,MLMIAKCI_02157,AOHABJFI_01844,LCPJMJGF_00889
group_1011,,hypothetical protein,4,4,1.0,93,6,,,,321,321,321.0,HJHFJAOG_01690,MLMIAKCI_02154,AOHABJFI_01847,LCPJMJGF_00886
yumC,yumC,Ferredoxin--NADP reductase 2,4,4,1.0,93,5,,,,993,993,993.0,HJHFJAOG_01684,MLMIAKCI_02148,AOHABJFI_01853,LCPJMJGF_00880
dedA,dedA,DedA family protein,4,4,1.0,93,4,,,,651,651,651.0,HJHFJAOG_01685,MLMIAKCI_02149,AOHABJFI_01852,LCPJMJGF_00881
group_1010,,hypothetical protein,4,4,1.0,93,3,,,,426,426,426.0,HJHFJAOG_01695,MLMIAKCI_00016,AOHABJFI_01842,LCPJMJGF_00891
ccpA_4,ccpA_4,Catabolite control protein A,4,4,1.0,93,2,,,,1002,1002,1002.0,HJHFJAOG_01692,MLMIAKCI_02156,AOHABJFI_01845,LCPJMJGF_00888
group_1009,,hypothetical protein,4,4,1.0,93,1,,,,573,591,577.5,HJHFJAOG_01688,MLMIAKCI_02152,AOHABJFI_01849,LCPJMJGF_00884
group_1008,,hypothetical protein,4,4,1.0,92,13,,,,1335,1335,1335.0,HJHFJAOG_01672,MLMIAKCI_02196,AOHABJFI_02155,LCPJMJGF_00115
group_1007,,hypothetical protein,4,4,1.0,92,12,,,,228,237,230.25,HJHFJAOG_01680,MLMIAKCI_02204,AOHABJFI_00107,LCPJMJGF_00141
group_1006,,hypothetical protein,4,4,1.0,92,11,,,,606,606,606.0,HJHFJAOG_01677,MLMIAKCI_02201,AOHABJFI_02160,LCPJMJGF_00102
group_1005,,hypothetical protein,4,4,1.0,92,10,,,,282,408,376.5,HJHFJAOG_01674,MLMIAKCI_02198,AOHABJFI_02157,LCPJMJGF_00105
ntd_1,ntd_1,Nucleoside deoxyribosyltransferase,4,4,1.0,92,9,,,,504,504,504.0,HJHFJAOG_01682,MLMIAKCI_00364,AOHABJFI_00105,LCPJMJGF_00139
group_1004,,hypothetical protein,4,6,1.5,92,8,,,,390,861,579.0,HJHFJAOG_01679,MLMIAKCI_02203,AOHABJFI_00108;AOHABJFI_02162,LCPJMJGF_00142;LCPJMJGF_00100
group_1003,,hypothetical protein,4,4,1.0,92,7,,,,345,345,345.0,HJHFJAOG_01673,MLMIAKCI_02197,AOHABJFI_02156,LCPJMJGF_00116
group_1002,,hypothetical protein,4,4,1.0,92,6,,,,264,264,264.0,HJHFJAOG_01681,MLMIAKCI_00363,AOHABJFI_00106,LCPJMJGF_00140
group_1001,,hypothetical protein,4,4,1.0,92,5,,,,1035,1035,1035.0,HJHFJAOG_01671,MLMIAKCI_02195,AOHABJFI_02154,LCPJMJGF_00114
group_1000,,hypothetical protein,4,4,1.0,92,4,,,,552,552,552.0,HJHFJAOG_01676,MLMIAKCI_02200,AOHABJFI_02159,LCPJMJGF_00103
serS,serS,Serine--tRNA ligase,4,4,1.0,92,3,,,,1308,1308,1308.0,HJHFJAOG_01675,MLMIAKCI_02199,AOHABJFI_02158,LCPJMJGF_00104
group_999,,hypothetical protein,4,4,1.0,92,2,,,,795,795,795.0,HJHFJAOG_01678,MLMIAKCI_02202,AOHABJFI_02161,LCPJMJGF_00101
sad,sad,Succinate semialdehyde dehydrogenase [NAD(P)+] Sad,4,4,1.0,92,1,,,,1383,1383,1383.0,HJHFJAOG_01683,MLMIAKCI_00365,AOHABJFI_00104,LCPJMJGF_00138
rnr,rnr,Ribonuclease R,4,4,1.0,91,7,,,,2256,2340,2319.0,HJHFJAOG_01637,MLMIAKCI_01878,AOHABJFI_01782,LCPJMJGF_01704
