group_1097,,hypothetical protein,HJHFJAOG_02045,MLMIAKCI_00043,AOHABJFI_00016,LCPJMJGF_00091
brnQ_1~~~brnQ,brnQ_1;brnQ,Branched-chain amino acid permease BrnQ,HJHFJAOG_02046,MLMIAKCI_00042,AOHABJFI_00017,LCPJMJGF_00092
uup_1~~~uup_8~~~uup_14,uup_1;uup_8;uup_14,ATP-binding protein Uup,HJHFJAOG_02040,MLMIAKCI_00014,AOHABJFI_00103,LCPJMJGF_00895
group_1095,,hypothetical protein,HJHFJAOG_02041,MLMIAKCI_00013,AOHABJFI_00102,LCPJMJGF_00896
group_1094,,hypothetical protein,HJHFJAOG_02042,MLMIAKCI_00012,AOHABJFI_00101,LCPJMJGF_00897
group_1089,,hypothetical protein,HJHFJAOG_01994,1_refound_20,AOHABJFI_01478,LCPJMJGF_00121
clcA_3,clcA_3,H(+)/Cl(-) exchange transporter ClcA,HJHFJAOG_01992,MLMIAKCI_00520,AOHABJFI_01480,LCPJMJGF_00119
group_1088,,hypothetical protein,HJHFJAOG_01993,MLMIAKCI_00519,AOHABJFI_01479,LCPJMJGF_00120
group_1087,,hypothetical protein,HJHFJAOG_01991,MLMIAKCI_00521,AOHABJFI_01481,3_refound_42_pseudo
group_1084,,ISNCY family transposase ISSeq2,HJHFJAOG_01987,MLMIAKCI_00417,AOHABJFI_01483,LCPJMJGF_00117
clcA_2,clcA_2,H(+)/Cl(-) exchange transporter ClcA,HJHFJAOG_01988,MLMIAKCI_00416,AOHABJFI_01482,LCPJMJGF_00118
pepDA_3,pepDA_3,Dipeptidase A,HJHFJAOG_01952,MLMIAKCI_02335,AOHABJFI_02284,LCPJMJGF_01022
yaaA,yaaA,DNA-binding and peroxide stress resistance protein YaaA,HJHFJAOG_01958,MLMIAKCI_02341,AOHABJFI_02278,LCPJMJGF_02158
gpmA_6,gpmA_6,23-bisphosphoglycerate-dependent phosphoglycerate mutase,HJHFJAOG_01956,MLMIAKCI_02339,AOHABJFI_02280,LCPJMJGF_01015
group_1081,,hypothetical protein,HJHFJAOG_01957,MLMIAKCI_02340,AOHABJFI_02279,LCPJMJGF_02157
ytrE,ytrE,ABC transporter ATP-binding protein YtrE,HJHFJAOG_01953,MLMIAKCI_02336,AOHABJFI_02283,LCPJMJGF_01018
group_1080,,putative ABC transporter permease,HJHFJAOG_01954,MLMIAKCI_02337,AOHABJFI_02282,LCPJMJGF_01017
group_1079,,hypothetical protein,HJHFJAOG_01955,MLMIAKCI_02338,AOHABJFI_02281,LCPJMJGF_01016
group_1078,,hypothetical protein,HJHFJAOG_01947,MLMIAKCI_02330,AOHABJFI_02218,LCPJMJGF_01381
xerS,xerS,Tyrosine recombinase XerS,HJHFJAOG_01950,MLMIAKCI_02333,AOHABJFI_02215,LCPJMJGF_01378
group_1077,,hypothetical protein,HJHFJAOG_01948,MLMIAKCI_02331,AOHABJFI_02217,LCPJMJGF_01380
mutS2,mutS2,Endonuclease MutS2,HJHFJAOG_01951,MLMIAKCI_02334,AOHABJFI_02214,LCPJMJGF_01377
group_1076,,hypothetical protein,HJHFJAOG_01949,MLMIAKCI_02332,AOHABJFI_02216,LCPJMJGF_01379
group_1072,,hypothetical protein,HJHFJAOG_01936,MLMIAKCI_02352,AOHABJFI_02203,LCPJMJGF_00039
mdtD_2,mdtD_2,Putative multidrug resistance protein MdtD,HJHFJAOG_01939,MLMIAKCI_02355,AOHABJFI_02200,LCPJMJGF_00042
group_1071,,hypothetical protein,HJHFJAOG_01940,MLMIAKCI_00615,AOHABJFI_02199,LCPJMJGF_00043
group_1070,,hypothetical protein,0_refound_1,MLMIAKCI_02351,2_refound_29,LCPJMJGF_00038
group_1069,,hypothetical protein,HJHFJAOG_01933,MLMIAKCI_02348,AOHABJFI_02206,LCPJMJGF_00035
group_1068,,hypothetical protein,HJHFJAOG_01934,MLMIAKCI_02349,AOHABJFI_02205,LCPJMJGF_00036
emrY,emrY,putative multidrug resistance protein EmrY,HJHFJAOG_01937,MLMIAKCI_02353,AOHABJFI_02202,LCPJMJGF_00040
group_1067,,IS200/IS605 family transposase ISLjo5,HJHFJAOG_01938,MLMIAKCI_02354,AOHABJFI_02201,LCPJMJGF_00041
group_1066,,hypothetical protein,HJHFJAOG_01935,MLMIAKCI_02350,AOHABJFI_02204,LCPJMJGF_00037
csd,csd,putative cysteine desulfurase,HJHFJAOG_01869,MLMIAKCI_02217,AOHABJFI_02167,LCPJMJGF_02205
sufU,sufU,Zinc-dependent sulfurtransferase SufU,HJHFJAOG_01870,MLMIAKCI_02216,AOHABJFI_02166,LCPJMJGF_02204
mntH,mntH,Divalent metal cation transporter MntH,HJHFJAOG_01873,MLMIAKCI_02213,AOHABJFI_02163,LCPJMJGF_02201
sufT,sufT,Fe-S protein maturation auxiliary factor SufT,HJHFJAOG_01872,MLMIAKCI_02214,AOHABJFI_02164,LCPJMJGF_02202
group_1060,,Iron-sulfur cluster assembly SufBD family protein,HJHFJAOG_01868,MLMIAKCI_02218,AOHABJFI_02168,LCPJMJGF_02206
group_1059,,putative ABC transporter ATP-binding protein,HJHFJAOG_01867,MLMIAKCI_02219,AOHABJFI_02169,LCPJMJGF_02207
group_1058,,Iron-sulfur cluster assembly SufBD family protein,HJHFJAOG_01871,MLMIAKCI_02215,AOHABJFI_02165,LCPJMJGF_02203
group_1057,,hypothetical protein,HJHFJAOG_01865,MLMIAKCI_01948,AOHABJFI_02073,LCPJMJGF_02176
argS,argS,Arginine--tRNA ligase,HJHFJAOG_01860,MLMIAKCI_01943,AOHABJFI_02078,LCPJMJGF_02171
dacA_2,dacA_2,D-alanyl-D-alanine carboxypeptidase DacA,HJHFJAOG_01863,MLMIAKCI_01946,AOHABJFI_02075,LCPJMJGF_02174
group_1056,,hypothetical protein,HJHFJAOG_01866,MLMIAKCI_01949,AOHABJFI_02072,LCPJMJGF_02177
fba,fba,Fructose-bisphosphate aldolase,HJHFJAOG_01859,MLMIAKCI_01942,AOHABJFI_02079,LCPJMJGF_02170
nnrD,nnrD,ADP-dependent (S)-NAD(P)H-hydrate dehydratase,HJHFJAOG_01862,MLMIAKCI_01945,AOHABJFI_02076,LCPJMJGF_02173
yciB,yciB,Putative LD-transpeptidase YciB,HJHFJAOG_01861,MLMIAKCI_01944,AOHABJFI_02077,LCPJMJGF_02172
group_1055,,hypothetical protein,HJHFJAOG_01844,MLMIAKCI_01901,AOHABJFI_02036,LCPJMJGF_00057;LCPJMJGF_00056
group_1054,,hypothetical protein,0_refound_3_pseudo,1_refound_16_pseudo,2_refound_30_pseudo,LCPJMJGF_00055
group_1053,,D-ribitol-5-phosphate phosphatase,HJHFJAOG_01843,MLMIAKCI_01902,AOHABJFI_02037,LCPJMJGF_00059
group_1052,,hypothetical protein,HJHFJAOG_01846,MLMIAKCI_01899,AOHABJFI_02034,LCPJMJGF_02187
group_1051,,hypothetical protein,HJHFJAOG_01842,MLMIAKCI_01903,AOHABJFI_02038,LCPJMJGF_00060
group_1050,,hypothetical protein,HJHFJAOG_02055,MLMIAKCI_01893,AOHABJFI_00471;AOHABJFI_00080,LCPJMJGF_02193
group_1049,,DegV domain-containing protein,HJHFJAOG_02057,MLMIAKCI_01895,AOHABJFI_00082,LCPJMJGF_02191
mepA_2,;mepA_2,hypothetical protein;Multidrug export protein MepA,HJHFJAOG_01840,MLMIAKCI_00411;MLMIAKCI_00410,AOHABJFI_02040,LCPJMJGF_00062
group_1048,,hypothetical protein,HJHFJAOG_02058,MLMIAKCI_01896,AOHABJFI_00083,LCPJMJGF_02190
yjaB,yjaB,Peptidyl-lysine N-acetyltransferase YjaB,HJHFJAOG_01841,MLMIAKCI_00409,AOHABJFI_02039,LCPJMJGF_00061
cbh,cbh,Bile salt hydrolase/transferase,HJHFJAOG_01848,MLMIAKCI_01897,AOHABJFI_02032,LCPJMJGF_02189
dps_1~~~dps,dps_1;dps,DNA protection during starvation protein,HJHFJAOG_01845,MLMIAKCI_01900,AOHABJFI_02035,LCPJMJGF_00054
eno2,eno2,Enolase 2,HJHFJAOG_02056,MLMIAKCI_01894,AOHABJFI_00081,LCPJMJGF_02192
simA,simA,6-phospho-alpha-glucosidase 1,HJHFJAOG_01831,MLMIAKCI_02097,AOHABJFI_01935,LCPJMJGF_00814
group_1041,,Calcium-transporting ATPase 1,HJHFJAOG_01825,MLMIAKCI_02091,AOHABJFI_01941,LCPJMJGF_00808
group_1040,,hypothetical protein,HJHFJAOG_01828,MLMIAKCI_02094,AOHABJFI_01938,LCPJMJGF_00811
group_1039,,hypothetical protein,HJHFJAOG_01823,MLMIAKCI_02089,AOHABJFI_01943,LCPJMJGF_00806
glvR_2,glvR_2,HTH-type transcriptional regulator GlvR,HJHFJAOG_01830,MLMIAKCI_02096,AOHABJFI_01936,LCPJMJGF_00813
ansA,ansA,L-asparaginase 1,HJHFJAOG_01829,MLMIAKCI_02095,AOHABJFI_01937,LCPJMJGF_00812
group_1038,,hypothetical protein,HJHFJAOG_01827,MLMIAKCI_02093,AOHABJFI_01939,LCPJMJGF_00810
group_1037,,hypothetical protein,HJHFJAOG_01826,MLMIAKCI_02092,AOHABJFI_01940,LCPJMJGF_00809
group_1036,,hypothetical protein,HJHFJAOG_01824,MLMIAKCI_02090,AOHABJFI_01942,LCPJMJGF_00807
ribBA,ribBA,Riboflavin biosynthesis protein RibBA,HJHFJAOG_01761,MLMIAKCI_00120,AOHABJFI_00092,LCPJMJGF_00149
pepE_3,pepE_3,Aminopeptidase E,HJHFJAOG_01753,MLMIAKCI_01536,AOHABJFI_02008,LCPJMJGF_01918
dppA_6,dppA_6,Dipeptide-binding protein,HJHFJAOG_01751,MLMIAKCI_01538,AOHABJFI_02006,LCPJMJGF_01916
yedJ,yedJ,putative protein YedJ,HJHFJAOG_01752,MLMIAKCI_01537,AOHABJFI_02007,LCPJMJGF_01917
dppA_5,dppA_5,Dipeptide-binding protein,HJHFJAOG_01750,MLMIAKCI_01539,AOHABJFI_02005,LCPJMJGF_01915
group_1029,,hypothetical protein,HJHFJAOG_01757,MLMIAKCI_01532,AOHABJFI_02011,LCPJMJGF_01922
tyrS1,tyrS1,Tyrosine--tRNA ligase 1,HJHFJAOG_01756,MLMIAKCI_01533,AOHABJFI_02010,LCPJMJGF_01921
group_1027,,hypothetical protein,HJHFJAOG_01724,MLMIAKCI_02005,AOHABJFI_01876,LCPJMJGF_00182
group_1026,,hypothetical protein,HJHFJAOG_01733,MLMIAKCI_01996,AOHABJFI_01885,LCPJMJGF_00191
group_1025,,hypothetical protein,HJHFJAOG_01735,MLMIAKCI_01994,AOHABJFI_01887,LCPJMJGF_00193
group_1024,,hypothetical protein,HJHFJAOG_01734,MLMIAKCI_01995,AOHABJFI_01886,LCPJMJGF_00192
citX,citX,Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,HJHFJAOG_01730,MLMIAKCI_01999,AOHABJFI_01882,LCPJMJGF_00188
eis,eis,N-acetyltransferase Eis,HJHFJAOG_01731,MLMIAKCI_01998,AOHABJFI_01883,LCPJMJGF_00189
arcB,arcB,Ornithine carbamoyltransferase catabolic,HJHFJAOG_01728,MLMIAKCI_02001,AOHABJFI_01880,LCPJMJGF_00186
argI,argI,Ornithine carbamoyltransferase catabolic,HJHFJAOG_01729,MLMIAKCI_02000,AOHABJFI_01881,LCPJMJGF_00187
kdpB,kdpB,Potassium-transporting ATPase ATP-binding subunit,HJHFJAOG_01725,MLMIAKCI_02004,AOHABJFI_01877,LCPJMJGF_00183
arcA,arcA,Arginine deiminase,HJHFJAOG_01727,MLMIAKCI_02002,AOHABJFI_01879,LCPJMJGF_00185
group_1023,,hypothetical protein,HJHFJAOG_01732,MLMIAKCI_01997,AOHABJFI_01884,LCPJMJGF_00190
benM_2,benM_2,HTH-type transcriptional regulator BenM,HJHFJAOG_01726,MLMIAKCI_02003,AOHABJFI_01878,LCPJMJGF_00184
rlmH,rlmH,Ribosomal RNA large subunit methyltransferase H,HJHFJAOG_01697,MLMIAKCI_01643,AOHABJFI_01540,LCPJMJGF_02026
htrA,htrA,Serine protease Do-like HtrA,HJHFJAOG_01698,MLMIAKCI_01642,AOHABJFI_01539,LCPJMJGF_02027
group_1022,,hypothetical protein,HJHFJAOG_02067,MLMIAKCI_01628,AOHABJFI_01525,LCPJMJGF_02041
walJ,walJ,Exodeoxyribonuclease WalJ,HJHFJAOG_01699,MLMIAKCI_01641,AOHABJFI_01538,LCPJMJGF_02028
walK,walK,Sensor protein kinase WalK,HJHFJAOG_01702,MLMIAKCI_01638,AOHABJFI_01535,LCPJMJGF_02031
group_1021,,hypothetical protein,HJHFJAOG_01705,MLMIAKCI_01635,AOHABJFI_01532,LCPJMJGF_02034
group_1020,,hypothetical protein,HJHFJAOG_02068,MLMIAKCI_01629,AOHABJFI_01526,LCPJMJGF_02040
gspA,;gspA,hypothetical protein;General stress protein A,HJHFJAOG_02070,MLMIAKCI_01631,AOHABJFI_01528,LCPJMJGF_02038
group_1019,,hypothetical protein,HJHFJAOG_01707,MLMIAKCI_01633,AOHABJFI_01530,LCPJMJGF_02036
group_1018,,hypothetical protein,HJHFJAOG_01700,MLMIAKCI_01640,AOHABJFI_01537,LCPJMJGF_02029
walR,walR,Transcriptional regulatory protein WalR,HJHFJAOG_01703,MLMIAKCI_01637,AOHABJFI_01534,LCPJMJGF_02032
group_1017,,hypothetical protein,HJHFJAOG_01701,MLMIAKCI_01639,AOHABJFI_01536,LCPJMJGF_02030
waaO,waaO,Lipopolysaccharide glucosyltransferase WaaO,HJHFJAOG_01708,MLMIAKCI_01632,AOHABJFI_01529,LCPJMJGF_02037
group_1016,,hypothetical protein,HJHFJAOG_02069,MLMIAKCI_01630,AOHABJFI_01527,LCPJMJGF_02039
ushA,ushA,Protein UshA,HJHFJAOG_01689,MLMIAKCI_02153,AOHABJFI_01848,LCPJMJGF_00885
yutF,yutF,5'-nucleotidase YutF,HJHFJAOG_01687,MLMIAKCI_02151,AOHABJFI_01850,LCPJMJGF_00883
group_1015,,hypothetical protein,HJHFJAOG_01694,MLMIAKCI_00017,AOHABJFI_01843,LCPJMJGF_00890
group_1014,,hypothetical protein,HJHFJAOG_01696,MLMIAKCI_00015,AOHABJFI_01841,LCPJMJGF_00892
group_1013,,hypothetical protein,HJHFJAOG_01686,MLMIAKCI_02150,AOHABJFI_01851,LCPJMJGF_00882
group_1012,,hypothetical protein,HJHFJAOG_01691,MLMIAKCI_02155,AOHABJFI_01846,LCPJMJGF_00887
pepQ,pepQ,Xaa-Pro dipeptidase,HJHFJAOG_01693,MLMIAKCI_02157,AOHABJFI_01844,LCPJMJGF_00889
group_1011,,hypothetical protein,HJHFJAOG_01690,MLMIAKCI_02154,AOHABJFI_01847,LCPJMJGF_00886
yumC,yumC,Ferredoxin--NADP reductase 2,HJHFJAOG_01684,MLMIAKCI_02148,AOHABJFI_01853,LCPJMJGF_00880
dedA,dedA,DedA family protein,HJHFJAOG_01685,MLMIAKCI_02149,AOHABJFI_01852,LCPJMJGF_00881
group_1010,,hypothetical protein,HJHFJAOG_01695,MLMIAKCI_00016,AOHABJFI_01842,LCPJMJGF_00891
ccpA_4,ccpA_4,Catabolite control protein A,HJHFJAOG_01692,MLMIAKCI_02156,AOHABJFI_01845,LCPJMJGF_00888
group_1009,,hypothetical protein,HJHFJAOG_01688,MLMIAKCI_02152,AOHABJFI_01849,LCPJMJGF_00884
group_1008,,hypothetical protein,HJHFJAOG_01672,MLMIAKCI_02196,AOHABJFI_02155,LCPJMJGF_00115
group_1007,,hypothetical protein,HJHFJAOG_01680,MLMIAKCI_02204,AOHABJFI_00107,LCPJMJGF_00141
group_1006,,hypothetical protein,HJHFJAOG_01677,MLMIAKCI_02201,AOHABJFI_02160,LCPJMJGF_00102
group_1005,,hypothetical protein,HJHFJAOG_01674,MLMIAKCI_02198,AOHABJFI_02157,LCPJMJGF_00105
ntd_1,ntd_1,Nucleoside deoxyribosyltransferase,HJHFJAOG_01682,MLMIAKCI_00364,AOHABJFI_00105,LCPJMJGF_00139
group_1004,,hypothetical protein,HJHFJAOG_01679,MLMIAKCI_02203,AOHABJFI_00108;AOHABJFI_02162,LCPJMJGF_00142;LCPJMJGF_00100
group_1003,,hypothetical protein,HJHFJAOG_01673,MLMIAKCI_02197,AOHABJFI_02156,LCPJMJGF_00116
group_1002,,hypothetical protein,HJHFJAOG_01681,MLMIAKCI_00363,AOHABJFI_00106,LCPJMJGF_00140
group_1001,,hypothetical protein,HJHFJAOG_01671,MLMIAKCI_02195,AOHABJFI_02154,LCPJMJGF_00114
group_1000,,hypothetical protein,HJHFJAOG_01676,MLMIAKCI_02200,AOHABJFI_02159,LCPJMJGF_00103
serS,serS,Serine--tRNA ligase,HJHFJAOG_01675,MLMIAKCI_02199,AOHABJFI_02158,LCPJMJGF_00104
group_999,,hypothetical protein,HJHFJAOG_01678,MLMIAKCI_02202,AOHABJFI_02161,LCPJMJGF_00101
sad,sad,Succinate semialdehyde dehydrogenase [NAD(P)+] Sad,HJHFJAOG_01683,MLMIAKCI_00365,AOHABJFI_00104,LCPJMJGF_00138
rnr,rnr,Ribonuclease R,HJHFJAOG_01637,MLMIAKCI_01878,AOHABJFI_01782,LCPJMJGF_01704
cpoA,cpoA,Alpha-galactosylglucosyldiacylglycerol synthase,HJHFJAOG_01641,MLMIAKCI_01874,AOHABJFI_01778,LCPJMJGF_01708
ltaS1_2,ltaS1_2,Lipoteichoic acid synthase 1,HJHFJAOG_01639,MLMIAKCI_01876,AOHABJFI_01780,LCPJMJGF_01706
secG,secG,putative protein-export membrane protein SecG,HJHFJAOG_01638,MLMIAKCI_01877,AOHABJFI_01781,LCPJMJGF_01705
group_998,,hypothetical protein,HJHFJAOG_01640,MLMIAKCI_01875,AOHABJFI_01779,LCPJMJGF_01707
smpB,smpB,SsrA-binding protein,HJHFJAOG_01636,MLMIAKCI_01879,AOHABJFI_01783,LCPJMJGF_01703
group_997,,Alpha-monoglucosyldiacylglycerol synthase,HJHFJAOG_01642,MLMIAKCI_01873,AOHABJFI_01777,LCPJMJGF_01709
group_996,,hypothetical protein,HJHFJAOG_01623,MLMIAKCI_01832,AOHABJFI_01749;AOHABJFI_01748,LCPJMJGF_02159
group_995,,hypothetical protein,HJHFJAOG_01626,MLMIAKCI_01835,AOHABJFI_01745,LCPJMJGF_02162
mdtG_2~~~sbnD_2~~~mdtG_1,mdtG_2;sbnD_2;mdtG_1,Multidrug resistance protein MdtG;Staphyloferrin B transporter,HJHFJAOG_01635;HJHFJAOG_01634,MLMIAKCI_01844;MLMIAKCI_01843,AOHABJFI_01736;AOHABJFI_01737,LCPJMJGF_01448
pepN,pepN,Aminopeptidase N,HJHFJAOG_01631,MLMIAKCI_01840,AOHABJFI_01740,LCPJMJGF_01451
dtpT,dtpT,Di-/tripeptide transporter,HJHFJAOG_01630,MLMIAKCI_01839,AOHABJFI_01741,LCPJMJGF_02166
group_994,,hypothetical protein,HJHFJAOG_01624,MLMIAKCI_01833,AOHABJFI_01747,LCPJMJGF_02160
group_993,,hypothetical protein,HJHFJAOG_01625,MLMIAKCI_01834,AOHABJFI_01746,LCPJMJGF_02161
group_992,,hypothetical protein,HJHFJAOG_01632,MLMIAKCI_01841,AOHABJFI_01739,LCPJMJGF_01450
group_991,,hypothetical protein,HJHFJAOG_01629,MLMIAKCI_01838,AOHABJFI_01742,LCPJMJGF_02165
group_990,,hypothetical protein,HJHFJAOG_01627,MLMIAKCI_01836,AOHABJFI_01744,LCPJMJGF_02163
group_989,,hypothetical protein,HJHFJAOG_01628,MLMIAKCI_01837,AOHABJFI_01743,LCPJMJGF_02164
group_988,,hypothetical protein,HJHFJAOG_01633,MLMIAKCI_01842,AOHABJFI_01738,LCPJMJGF_01449
group_985,,hypothetical protein,HJHFJAOG_01798,MLMIAKCI_00858,AOHABJFI_02350,LCPJMJGF_00377
urdA_1,urdA_1,Urocanate reductase,HJHFJAOG_01618,MLMIAKCI_00845,AOHABJFI_02363,LCPJMJGF_00390
glnP_2,glnP_2,putative glutamine ABC transporter permease protein GlnP,HJHFJAOG_01786,MLMIAKCI_01462,AOHABJFI_02338,LCPJMJGF_00098
pnbA,pnbA,4-nitrobenzoate reductase,HJHFJAOG_01615,MLMIAKCI_00848,AOHABJFI_02360,LCPJMJGF_00387
group_984,,hypothetical protein,HJHFJAOG_01791,MLMIAKCI_00865,AOHABJFI_02343,LCPJMJGF_00370
yidA_4,yidA_4,Sugar phosphatase YidA,HJHFJAOG_01802,MLMIAKCI_00854,AOHABJFI_02354,LCPJMJGF_00381
glvR_1,glvR_1,HTH-type transcriptional regulator GlvR,HJHFJAOG_01611,MLMIAKCI_00852,AOHABJFI_02356,LCPJMJGF_00383
guaA_2,guaA_2,GMP synthase [glutamine-hydrolyzing],HJHFJAOG_01774,MLMIAKCI_01450,AOHABJFI_02326,LCPJMJGF_02133
hpt_2,hpt_2,Hypoxanthine-guanine phosphoribosyltransferase,HJHFJAOG_01617,MLMIAKCI_00846,AOHABJFI_02362,LCPJMJGF_00389
xpkA_2,xpkA_2,Xylulose-5-phosphate phosphoketolase,HJHFJAOG_01800,MLMIAKCI_00856,AOHABJFI_02352,LCPJMJGF_00379
group_981,,hypothetical protein,HJHFJAOG_01790,MLMIAKCI_00866,AOHABJFI_02342,LCPJMJGF_00369
crr,crr,PTS system glucose-specific EIIA component,HJHFJAOG_01613,MLMIAKCI_00850,AOHABJFI_02358,LCPJMJGF_00385
group_980,,hypothetical protein,HJHFJAOG_01789,MLMIAKCI_00867,AOHABJFI_02341,LCPJMJGF_00368
group_979,,hypothetical protein,HJHFJAOG_01614,MLMIAKCI_00849,AOHABJFI_02359,LCPJMJGF_00386
malP_2,malP_2,PTS system maltose-specific EIICB component,HJHFJAOG_01610,MLMIAKCI_00853,AOHABJFI_02355,LCPJMJGF_00382
glcR_2,glcR_2,HTH-type transcriptional repressor GlcR,HJHFJAOG_01799,MLMIAKCI_00857,AOHABJFI_02351,LCPJMJGF_00378
glnH_3,glnH_3,ABC transporter glutamine-binding protein GlnH,HJHFJAOG_01784,MLMIAKCI_01460,AOHABJFI_02336,LCPJMJGF_00096
gmuR,gmuR,HTH-type transcriptional regulator GmuR,HJHFJAOG_01796,MLMIAKCI_00860,AOHABJFI_02348,LCPJMJGF_00375
group_977,,hypothetical protein,HJHFJAOG_01801,MLMIAKCI_00855,AOHABJFI_02353,LCPJMJGF_00380
group_976,,hypothetical protein,HJHFJAOG_01787,MLMIAKCI_01463,AOHABJFI_02339,LCPJMJGF_00099
group_975,,hypothetical protein,HJHFJAOG_01612,MLMIAKCI_00851,AOHABJFI_02357,LCPJMJGF_00384
ybjI_4,ybjI_4,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI,HJHFJAOG_01797,MLMIAKCI_00859,AOHABJFI_02349,LCPJMJGF_00376
glnM,glnM,putative glutamine ABC transporter permease protein GlnM,HJHFJAOG_01785,MLMIAKCI_01461,AOHABJFI_02337,LCPJMJGF_00097
group_974,kup_2,Low affinity potassium transport system protein Kup,HJHFJAOG_01794,MLMIAKCI_00862,AOHABJFI_02346,LCPJMJGF_00373
udk_1~~~udk_2,udk_1;udk_2,Uridine kinase,HJHFJAOG_01782,MLMIAKCI_01458,AOHABJFI_02334,LCPJMJGF_00094
steT_2~~~steT_3,steT_2;steT_3,Serine/threonine exchanger SteT,HJHFJAOG_01772,MLMIAKCI_01448,AOHABJFI_02324,LCPJMJGF_02131
steT_3~~~steT_2,steT_3;steT_2,Serine/threonine exchanger SteT,HJHFJAOG_01771,MLMIAKCI_01447,AOHABJFI_02323,LCPJMJGF_02132
rihC,rihC,Non-specific ribonucleoside hydrolase RihC,HJHFJAOG_01795,MLMIAKCI_00861,AOHABJFI_02347,LCPJMJGF_00374
rbsKrbiA_2,rbsK/rbiA_2,Bifunctional ribokinase/ribose-5-phosphate isomerase A,HJHFJAOG_01792,MLMIAKCI_00864,AOHABJFI_02344,LCPJMJGF_00371
glnQ_1,glnQ_1,Glutamine transport ATP-binding protein GlnQ,HJHFJAOG_01783,MLMIAKCI_01459,AOHABJFI_02335,LCPJMJGF_00095
rpiA,rpiA,Ribose-5-phosphate isomerase A,HJHFJAOG_01793,MLMIAKCI_00863,AOHABJFI_02345,LCPJMJGF_00372
group_971,,hypothetical protein,HJHFJAOG_01770,MLMIAKCI_01446,AOHABJFI_02322,LCPJMJGF_02130
group_970,,hypothetical protein,HJHFJAOG_01616,MLMIAKCI_00847,AOHABJFI_02361,LCPJMJGF_00388
lgt,lgt,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,HJHFJAOG_01998,MLMIAKCI_01912,AOHABJFI_02262,LCPJMJGF_01120
whiA,whiA,putative cell division protein WhiA,HJHFJAOG_01559,MLMIAKCI_01648,AOHABJFI_02271,LCPJMJGF_01129
recA,recA,Protein RecA,HJHFJAOG_02009,MLMIAKCI_01683,AOHABJFI_02251,LCPJMJGF_01109
