candidate,pair,product_size,L_on_target_genomes,L_off_target_genomes,L_off_target_species,R_on_target_genomes,R_off_target_genomes,R_off_target_species,expected_genomes,pass
Lactobacillus_jensenii__group_454,0,137,3,0,,3,0,,3,True
Lactobacillus_jensenii__group_454,1,139,3,0,,3,0,,3,True
Lactobacillus_jensenii__group_454,2,138,3,0,,3,0,,3,True
Lactobacillus_mulieris__group_152,0,92,2,0,,2,0,,2,True
Lactobacillus_mulieris__group_152,1,93,2,0,,2,0,,2,True
Lactobacillus_mulieris__group_152,2,98,2,0,,2,0,,2,True
Lactobacillus_mulieris__group_152,3,96,2,0,,2,0,,2,True
Lactobacillus_mulieris__group_152,4,89,2,0,,2,0,,2,True
Lactobacillus_mulieris__group_245,0,84,2,0,,2,1,Lactobacillus_gasseri,2,False
Lactobacillus_mulieris__group_245,1,83,2,0,,2,1,Lactobacillus_gasseri,2,False
Lactobacillus_mulieris__group_245,2,108,2,0,,2,0,,2,True
Lactobacillus_mulieris__group_245,3,110,2,0,,2,0,,2,True
Lactobacillus_mulieris__group_245,4,115,2,0,,2,0,,2,True
Lactobacillus_mulieris__group_315,0,131,2,0,,2,0,,2,True
Lactobacillus_mulieris__group_315,1,133,2,0,,2,0,,2,True
Lactobacillus_mulieris__group_315,2,132,2,0,,2,0,,2,True
Lactobacillus_mulieris__group_315,3,132,2,0,,2,0,,2,True
Lactobacillus_mulieris__group_315,4,132,2,0,,2,0,,2,True
Lactobacillus_mulieris__group_396,0,81,2,0,,2,1,Lactobacillus_crispatus,2,False
Lactobacillus_mulieris__group_396,1,83,2,0,,2,1,Lactobacillus_crispatus,2,False
Lactobacillus_mulieris__group_396,2,82,2,0,,2,1,Lactobacillus_crispatus,2,False
Lactobacillus_mulieris__group_396,3,84,2,0,,2,1,Lactobacillus_crispatus,2,False
Lactobacillus_mulieris__group_396,4,85,2,0,,2,1,Lactobacillus_crispatus,2,False
Lactobacillus_mulieris__guaD,0,140,2,0,,2,0,,2,True
Lactobacillus_mulieris__guaD,1,140,2,0,,2,0,,2,True
Lactobacillus_mulieris__guaD,2,139,2,0,,2,0,,2,True
Lactobacillus_mulieris__guaD,3,140,2,0,,2,0,,2,True
Lactobacillus_mulieris__guaD,4,140,2,0,,2,0,,2,True
Lactobacillus_paragasseri__asp2,0,122,3,0,,3,0,,3,True
Lactobacillus_paragasseri__asp2,1,123,3,0,,3,0,,3,True
Lactobacillus_paragasseri__asp2,2,90,3,0,,3,3,"Lactobacillus_gasseri,Lactobacillus_mulieris",3,False
Lactobacillus_paragasseri__asp2,3,88,3,0,,3,3,"Lactobacillus_gasseri,Lactobacillus_mulieris",3,False
Lactobacillus_paragasseri__asp2,4,89,3,0,,3,3,"Lactobacillus_gasseri,Lactobacillus_mulieris",3,False
Lactobacillus_paragasseri__group_266,0,122,3,0,,3,2,Lactobacillus_gasseri,3,False
Lactobacillus_paragasseri__group_266,1,117,3,0,,3,2,Lactobacillus_gasseri,3,False
Lactobacillus_paragasseri__group_266,2,115,3,0,,3,2,Lactobacillus_gasseri,3,False
Lactobacillus_paragasseri__group_266,3,110,3,2,Lactobacillus_gasseri,3,0,,3,False
Lactobacillus_paragasseri__group_266,4,123,3,0,,3,2,Lactobacillus_gasseri,3,False
