Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Lactobacillus_jensenii__UMB0732__GCA_030218485.1,Lactobacillus_jensenii__UMB10187__GCA_030211725.1,Lactobacillus_jensenii__UMB7786__GCA_030215165.1
mutSB,mutSB,Putative endonuclease MutS2,3,3,1.0,36,32,,,,2361,2361,2361.0,BDMKMOGB_01299,IAAMHMBP_00095,PKFCGPHH_01486
group_526,,hypothetical protein,3,3,1.0,36,31,,,,1380,1380,1380.0,BDMKMOGB_01311,IAAMHMBP_00083,PKFCGPHH_01474
group_525,,hypothetical protein,3,3,1.0,36,30,,,,375,375,375.0,BDMKMOGB_01290,IAAMHMBP_00104,PKFCGPHH_01495
group_524,,hypothetical protein,3,3,1.0,36,29,,,,618,618,618.0,BDMKMOGB_01352,IAAMHMBP_00068,PKFCGPHH_01459
group_523,,dITP/XTP pyrophosphatase,3,3,1.0,36,28,,,,618,618,618.0,BDMKMOGB_01303,IAAMHMBP_00091,PKFCGPHH_01482
arcA,arcA,Arginine deiminase,3,3,1.0,36,27,,,,1227,1227,1227.0,BDMKMOGB_01320,IAAMHMBP_00074,PKFCGPHH_01465
yrrK,yrrK,Putative pre-16S rRNA nuclease,3,3,1.0,36,26,,,,447,447,447.0,BDMKMOGB_01297,IAAMHMBP_00097,PKFCGPHH_01488
group_522,,hypothetical protein,3,3,1.0,36,25,,,,1389,1389,1389.0,BDMKMOGB_01313,IAAMHMBP_00081,PKFCGPHH_01472
nrnA,nrnA,putative bifunctional oligoribonuclease and PAP phosphatase NrnA,3,3,1.0,36,24,,,,960,960,960.0,BDMKMOGB_01293,IAAMHMBP_00101,PKFCGPHH_01492
pepV,pepV,Beta-Ala-Xaa dipeptidase,3,3,1.0,36,23,,,,1407,1407,1407.0,BDMKMOGB_01310,IAAMHMBP_00084,PKFCGPHH_01475
trxA,trxA,Thioredoxin,3,3,1.0,36,22,,,,312,312,312.0,BDMKMOGB_01300,IAAMHMBP_00094,PKFCGPHH_01485
pepQ,pepQ,Xaa-Pro dipeptidase,3,3,1.0,36,21,,,,1113,1113,1113.0,BDMKMOGB_01308,IAAMHMBP_00086,PKFCGPHH_01477
group_521,,hypothetical protein,3,3,1.0,36,20,,,,315,315,315.0,BDMKMOGB_01298,IAAMHMBP_00096,PKFCGPHH_01487
mutS,mutS,DNA mismatch repair protein MutS,3,3,1.0,36,19,,,,2583,2583,2583.0,BDMKMOGB_01286,IAAMHMBP_00108,PKFCGPHH_01499
alaS,alaS,Alanine--tRNA ligase,3,3,1.0,36,18,,,,2637,2637,2637.0,BDMKMOGB_01295,IAAMHMBP_00099,PKFCGPHH_01490
arcD1_1,arcD1_1,Arginine/ornithine antiporter ArcD1,3,3,1.0,36,17,,,,1419,1419,1419.0,BDMKMOGB_01321,IAAMHMBP_00073,PKFCGPHH_01464
dinB_2,dinB_2,DNA polymerase IV,3,3,1.0,36,16,,,,1116,1116,1116.0,BDMKMOGB_01292,IAAMHMBP_00102,PKFCGPHH_01493
group_520,,hypothetical protein,3,3,1.0,36,15,,,,318,318,318.0,BDMKMOGB_01312,IAAMHMBP_00082,PKFCGPHH_01473
murI,murI,Glutamate racemase,3,3,1.0,36,14,,,,801,801,801.0,BDMKMOGB_01302,IAAMHMBP_00092,PKFCGPHH_01483
arcD1_2,arcD1_2,Arginine/ornithine antiporter ArcD1,3,3,1.0,36,13,,,,1428,1428,1428.0,BDMKMOGB_01322,IAAMHMBP_00072,PKFCGPHH_01463
group_519,,hypothetical protein,3,3,1.0,36,12,,,,1119,1119,1119.0,BDMKMOGB_01284,IAAMHMBP_00110,PKFCGPHH_01501
yslB,yslB,putative protein YslB,3,3,1.0,36,11,,,,396,396,396.0,BDMKMOGB_01301,IAAMHMBP_00093,PKFCGPHH_01484
group_518,,hypothetical protein,3,3,1.0,36,10,,,,558,558,558.0,BDMKMOGB_01314,IAAMHMBP_00080,PKFCGPHH_01471
group_517,,hypothetical protein,3,3,1.0,36,9,,,,3111,3111,3111.0,BDMKMOGB_01285,IAAMHMBP_00109,PKFCGPHH_01500
gtfA,gtfA,Sucrose phosphorylase,3,3,1.0,36,8,,,,1446,1446,1446.0,BDMKMOGB_01323,IAAMHMBP_00071,PKFCGPHH_01462
zwf,zwf,Glucose-6-phosphate 1-dehydrogenase,3,3,1.0,36,7,,,,1449,1449,1449.0,BDMKMOGB_01291,IAAMHMBP_00103,PKFCGPHH_01494
group_516,,hypothetical protein,3,3,1.0,36,6,,,,330,330,330.0,BDMKMOGB_01307,IAAMHMBP_00087,PKFCGPHH_01478
ccpA_3,ccpA_3,Catabolite control protein A,3,3,1.0,36,5,,,,999,999,999.0,BDMKMOGB_01309,IAAMHMBP_00085,PKFCGPHH_01476
ykuT,ykuT,putative MscS family protein YkuT,3,3,1.0,36,4,,,,822,822,822.0,BDMKMOGB_01305,IAAMHMBP_00089,PKFCGPHH_01480
mutL,mutL,DNA mismatch repair protein MutL,3,3,1.0,36,3,,,,1866,1866,1866.0,BDMKMOGB_01287,IAAMHMBP_00107,PKFCGPHH_01498
argF,argF,Ornithine carbamoyltransferase,3,3,1.0,36,2,,,,1002,1002,1002.0,BDMKMOGB_01318,IAAMHMBP_00076,PKFCGPHH_01467
group_515,,hypothetical protein,3,3,1.0,36,1,,,,825,825,825.0,BDMKMOGB_01278,IAAMHMBP_00116,PKFCGPHH_01356
pbuG_2,pbuG_2,Guanine/hypoxanthine permease PbuG,3,3,1.0,34,9,,,,1308,1308,1308.0,BDMKMOGB_01350,IAAMHMBP_01607,PKFCGPHH_00041
group_510,,L-lactate oxidase,3,3,1.0,34,7,,,,1227,1227,1227.0,BDMKMOGB_01349,IAAMHMBP_01608,PKFCGPHH_00040
pbuG_1,pbuG_1,Guanine/hypoxanthine permease PbuG,3,3,1.0,34,6,,,,1311,1311,1311.0,BDMKMOGB_01238,IAAMHMBP_01606,PKFCGPHH_00042
gnd,gnd,6-phosphogluconate dehydrogenase decarboxylating,3,3,1.0,34,5,,,,1389,1389,1389.0,BDMKMOGB_01241,IAAMHMBP_01603,PKFCGPHH_00045
group_509,,hypothetical protein,3,3,1.0,34,4,,,,960,960,960.0,BDMKMOGB_01240,IAAMHMBP_01604,PKFCGPHH_00044
clcA,clcA,H(+)/Cl(-) exchange transporter ClcA,3,3,1.0,34,3,,,,1512,1512,1512.0,BDMKMOGB_01239,IAAMHMBP_01605,PKFCGPHH_00043
pncB,pncB,Nicotinate phosphoribosyltransferase,3,3,1.0,33,46,,,,1476,1476,1476.0,BDMKMOGB_01198,IAAMHMBP_00226,PKFCGPHH_01327
ettA,ettA,Energy-dependent translational throttle protein EttA,3,3,1.0,33,45,,,,1911,1911,1911.0,BDMKMOGB_01172,IAAMHMBP_00199,PKFCGPHH_01301
group_507,,hypothetical protein,3,3,1.0,33,44,,,,1482,1482,1482.0,BDMKMOGB_01195,IAAMHMBP_00223,PKFCGPHH_01324
nadE,nadE,NH(3)-dependent NAD(+) synthetase,3,3,1.0,33,43,,,,831,831,831.0,BDMKMOGB_01197,IAAMHMBP_00225,PKFCGPHH_01326
odcI,odcI,Inducible ornithine decarboxylase,3,3,1.0,33,42,,,,1986,2091,2056.0,BDMKMOGB_01182,IAAMHMBP_00210,PKFCGPHH_01311
arnC_2,arnC_2,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,3,3,1.0,33,41,,,,1962,1962,1962.0,BDMKMOGB_01203,IAAMHMBP_00230,PKFCGPHH_01332
manZ_3,manZ_3,PTS system mannose-specific EIID component,3,3,1.0,33,40,,,,915,915,915.0,BDMKMOGB_01221,IAAMHMBP_00248,PKFCGPHH_01350
dagK,dagK,Diacylglycerol kinase,3,3,1.0,33,39,,,,915,915,915.0,BDMKMOGB_01184,IAAMHMBP_00212,PKFCGPHH_01313
panT,panT,Pantothenate transporter PanT,3,3,1.0,33,38,,,,582,582,582.0,BDMKMOGB_01192,IAAMHMBP_00220,PKFCGPHH_01321
ligA,ligA,DNA ligase,3,3,1.0,33,37,,,,2010,2010,2010.0,BDMKMOGB_01189,IAAMHMBP_00217,PKFCGPHH_01318
group_506,,hypothetical protein,3,3,1.0,33,36,,,,840,840,840.0,BDMKMOGB_01180,IAAMHMBP_00207,PKFCGPHH_01309
group_505,,hypothetical protein,3,3,1.0,33,35,,,,597,597,597.0,BDMKMOGB_01175,IAAMHMBP_00202,PKFCGPHH_01304
group_504,,putative RNA methyltransferase,3,3,1.0,33,34,,,,1344,1344,1344.0,BDMKMOGB_01177,IAAMHMBP_00204,PKFCGPHH_01306
group_503,,hypothetical protein,3,3,1.0,33,33,,,,198,357,251.0,BDMKMOGB_01174,IAAMHMBP_00201,PKFCGPHH_01303
nhaC,nhaC,Na(+)/H(+) antiporter NhaC,3,3,1.0,33,32,,,,1368,1368,1368.0,BDMKMOGB_01178,IAAMHMBP_00205,PKFCGPHH_01307
group_502,,hypothetical protein,3,3,1.0,33,31,,,,366,366,366.0,BDMKMOGB_01220,IAAMHMBP_00247,PKFCGPHH_01349
group_501,,hypothetical protein,3,3,1.0,33,30,,,,777,777,777.0,BDMKMOGB_01215,IAAMHMBP_00242,PKFCGPHH_01344
pcrA,pcrA,ATP-dependent DNA helicase PcrA,3,3,1.0,33,29,,,,2265,2265,2265.0,BDMKMOGB_01190,IAAMHMBP_00218,PKFCGPHH_01319
cycA,cycA,D-serine/D-alanine/glycine transporter,3,3,1.0,33,28,,,,1380,1380,1380.0,BDMKMOGB_01219,IAAMHMBP_00246,PKFCGPHH_01348
bshA,bshA,N-acetyl-alpha-D-glucosaminyl L-malate synthase,3,3,1.0,33,27,,,,1089,1089,1089.0,BDMKMOGB_01204,IAAMHMBP_00231,PKFCGPHH_01333
group_500,,Protein SprT-like protein,3,3,1.0,33,26,,,,444,444,444.0,BDMKMOGB_01194,IAAMHMBP_00222,PKFCGPHH_01323
group_499,,hypothetical protein,3,3,1.0,33,25,,,,699,699,699.0,BDMKMOGB_01202,IAAMHMBP_00229,PKFCGPHH_01331
nagR,nagR,HTH-type transcriptional repressor NagR,3,3,1.0,33,24,,,,702,702,702.0,BDMKMOGB_01209,IAAMHMBP_00236,PKFCGPHH_01338
gatC,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,3,3,1.0,33,23,,,,303,303,303.0,BDMKMOGB_01187,IAAMHMBP_00215,PKFCGPHH_01316
ybhL,ybhL,Inner membrane protein YbhL,3,3,1.0,33,22,,,,708,708,708.0,BDMKMOGB_01179,IAAMHMBP_00206,PKFCGPHH_01308
group_498,,hypothetical protein,3,5,1.6666666666666667,33,21,,,,243,1746,1043.4,BDMKMOGB_01201;BDMKMOGB_01200,IAAMHMBP_00228,PKFCGPHH_01330;PKFCGPHH_01329
group_497,,hypothetical protein,3,3,1.0,33,20,,,,1731,1731,1731.0,BDMKMOGB_01199,IAAMHMBP_00227,PKFCGPHH_01328
tagD,tagD,Glycerol-3-phosphate cytidylyltransferase,3,3,1.0,33,19,,,,387,387,387.0,BDMKMOGB_01208,IAAMHMBP_00235,PKFCGPHH_01337
group_496,,hypothetical protein,3,3,1.0,33,18,,,,1113,1113,1113.0,BDMKMOGB_01210,IAAMHMBP_00237,PKFCGPHH_01339
group_495,,hypothetical protein,3,3,1.0,33,17,,,,2586,2586,2586.0,BDMKMOGB_01173,IAAMHMBP_00200,PKFCGPHH_01302
group_494,,Calcium-transporting ATPase 1,3,3,1.0,33,16,,,,2640,2640,2640.0,BDMKMOGB_01196,IAAMHMBP_00224,PKFCGPHH_01325
ycaM_1~~~ycaM_2,ycaM_1;ycaM_2,Inner membrane transporter YcaM,3,4,1.3333333333333333,33,15,,,,711,1461,1096.5,BDMKMOGB_01181,IAAMHMBP_00209;IAAMHMBP_00208,PKFCGPHH_01310
group_493,,hypothetical protein,3,3,1.0,33,14,,,,1266,1266,1266.0,BDMKMOGB_01183,IAAMHMBP_00211,PKFCGPHH_01312
group_492,,hypothetical protein,3,3,1.0,33,13,,,,240,240,240.0,BDMKMOGB_01176,IAAMHMBP_00203,PKFCGPHH_01305
sorA_2,sorA_2,PTS system sorbose-specific EIIC component,3,3,1.0,33,12,,,,804,804,804.0,BDMKMOGB_01222,IAAMHMBP_00249,PKFCGPHH_01351
rfbX,rfbX,Putative O-antigen transporter,3,3,1.0,33,11,,,,1434,1434,1434.0,BDMKMOGB_01206,IAAMHMBP_00233,PKFCGPHH_01335
gatB,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,3,3,1.0,33,10,,,,1431,1431,1431.0,BDMKMOGB_01185,IAAMHMBP_00213,PKFCGPHH_01314
rex,rex,Redox-sensing transcriptional repressor Rex,3,3,1.0,33,9,,,,642,642,642.0,BDMKMOGB_01171,IAAMHMBP_00198,PKFCGPHH_01300
qacC,qacC,Quaternary ammonium compound-resistance protein QacC,3,3,1.0,33,8,,,,324,324,324.0,BDMKMOGB_01216,IAAMHMBP_00243,PKFCGPHH_01345
group_491,,hypothetical protein,3,3,1.0,33,7,,,,645,645,645.0,BDMKMOGB_01191,IAAMHMBP_00219,PKFCGPHH_01320
gatA,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,3,3,1.0,33,6,,,,1440,1440,1440.0,BDMKMOGB_01186,IAAMHMBP_00214,PKFCGPHH_01315
pspB,pspB,Putative phosphoserine phosphatase 2,3,3,1.0,33,5,,,,573,573,573.0,BDMKMOGB_01214,IAAMHMBP_00241,PKFCGPHH_01343
manX_2,manX_2,PTS system mannose-specific EIIAB component,3,3,1.0,33,4,,,,996,996,996.0,BDMKMOGB_01223,IAAMHMBP_00250,PKFCGPHH_01352
group_490,,hypothetical protein,3,3,1.0,33,3,,,,1143,1143,1143.0,BDMKMOGB_01207,IAAMHMBP_00234,PKFCGPHH_01336
tagA,tagA,N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase,3,3,1.0,33,2,,,,735,735,735.0,BDMKMOGB_01205,IAAMHMBP_00232,PKFCGPHH_01334
